trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,2,True,1.6993846000405028,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,60,0,1.0026705999625847,1.0026705999625847,3.05804219993297,True,near-rndm,1,1,1,0.625,0.5,start,16,0
2,1,True,1.6545767999486998,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,60,0,0.983178700087592,0.983178700087592,0.794213299988769,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
3,1,True,1.974981699953787,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,60,0,1.003402200061828,1.003402200061828,0.1643720999127254,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
4,3,True,1.4275806000223383,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,1.0190305000869557,1.0190305000869557,0.6194477000972256,True,near-000,1,1,1,0.625,0.5,start,16,0
5,2,True,1.607242300058715,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,60,0.09143300005234778,1.0129935999866575,1.1044266000390053,0.5258184000849724,True,near-080,1,1,1,0.625,0.5,start,16,0
6,3,True,1.8568045001011342,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,60,0.1871157999848947,1.0233387000625953,1.21045450004749,0.16935119999106973,True,near-160,1,1,1,0.625,0.5,start,16,0
7,4,True,0.9519938000012189,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,60,0.28055389993824065,1.047285999986343,1.3278398999245837,0.22168519999831915,True,near-240,1,1,1,0.625,0.5,start,16,0
8,1,True,2.7647525999927893,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,44,0,0.7392797999782488,0.7392797999782488,0.8082290999591351,True,near-000,2,1,1,0.625,1.0,start,16,0
9,2,True,0.8487577999476343,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,44,0,0.7462225999915972,0.7462225999915972,0.5955259000184014,True,near-rnd2,2,1,1,0.625,1.0,start,16,0
10,2,True,1.180109899956733,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,44,0,0.7433545999228954,0.7433545999228954,0.2682592000346631,True,near-rndm,2,1,1,0.625,1.0,start,16,0
11,1,True,2.7385555000510067,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,44,0.2491992999566719,0.7413410000735894,0.9905403000302613,0.4200927000492811,True,near-240,2,1,1,0.625,1.0,start,16,0
12,1,True,7.273834399995394,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,44,0,0.7233464000746608,0.7233464000746608,0.9545066000428051,False,near-rnd3,2,1,0,0.625,1.0,start,16,0
13,1,True,2.1420783000066876,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,44,0.17356329993344843,0.7462074999930337,0.9197707999264821,0.422952999942936,True,near-160,2,1,1,0.625,1.0,start,16,0
14,3,True,0.8293866000603884,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,44,0.10958709998521954,0.7667434000177309,0.8763305000029504,0.19068539992440492,True,near-080,2,1,1,0.625,1.0,start,16,0
15,1,True,1.3432858999585733,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,28,0.169448500033468,0.4908692000899464,0.6603177001234144,0.5584680000320077,True,near-160,3,1,1,0.625,1.0,start,16,0
16,2,True,1.1408497999655083,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,28,0.09611729998141527,0.5021779000526294,0.5982952000340447,0.44419199996627867,True,near-080,3,1,1,0.625,1.0,start,16,0
17,4,True,1.3595718999858946,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,28,0,0.5082589000230655,0.5082589000230655,1.0619034999981523,True,near-rnd2,3,1,1,0.625,1.0,start,16,0
18,1,True,2.012328000040725,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,28,0,0.4781882999232039,0.4781882999232039,0.5704237000318244,True,near-rndm,3,1,1,0.625,1.0,start,16,0
19,2,True,2.66046909999568,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,44,0,0.7407451000763103,0.7407451000763103,0.9792114000301808,True,near-rnd3,3,2,1,1.25,1.0,start,16,0
20,2,True,1.3518732000375167,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,28,0,0.49170380004215986,0.49170380004215986,0.6970624000532553,True,near-000,3,1,1,0.625,1.0,start,16,0
21,1,True,2.418082999996841,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,28,0.24917019996792078,0.49278460000641644,0.7419547999743372,0.5412309999810532,True,near-240,3,1,1,0.625,1.0,start,16,0
22,4,True,1.3861827999353409,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,12,0,0.24459370004478842,0.24459370004478842,0.6101122999098152,True,near-rndm,4,1,1,0.625,0.5,start,16,0
23,2,True,0.9469884999562055,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,12,0,0.23775390000082552,0.23775390000082552,1.529968100017868,False,near-000,4,1,0,0.625,0.5,start,16,0
24,1,True,2.067604699986987,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,12,0.17521859996486455,0.2375029999529943,0.41272159991785884,0.9695724999764934,False,near-160,4,1,0,0.625,0.5,start,16,0
25,1,True,1.9156765000661835,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,12,0.24920000007841736,0.2333006999688223,0.48250070004723966,0.9024835999589413,True,near-240,4,1,1,0.625,0.5,start,16,0
26,1,True,2.126094900071621,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,12,0,0.24079189996700734,0.24079189996700734,0.9108895999379456,False,near-rnd2,4,1,0,0.625,0.5,start,16,0
27,1,True,1.3180381000274792,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,12,0.08977869991213083,0.23524329997599125,0.3250219998881221,0.7922367999562994,False,near-080,4,1,0,0.625,0.5,start,16,0
28,1,True,2.2424367000348866,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,28,0,0.4712671000743285,0.4712671000743285,0.9051875000586733,True,near-rnd3,4,1,1,0.625,0.5,start,16,0
29,3,True,1.8230563999386504,800.0,50.0,33.0,10,False,2,up,0.16666666666666666,20,0.24614679999649525,0.38005639996845275,0.626203199964948,0.708206299925223,True,near-160,5,1,1,0.625,0.5,up,8,0
30,2,True,0.8663566999603063,800.0,100.0,50.0,0,False,1,up,0.16666666666666666,20,0,0.3720255000516772,0.3720255000516772,0.6863769000628963,True,near-rnd2,5,1,1,0.625,0.5,up,8,0
31,2,True,1.9958479000488296,800.0,50.0,33.0,0,False,2,up,0.16666666666666666,20,0,0.37248210003599524,0.37248210003599524,0.9804888999788091,False,near-000,5,1,0,0.625,0.5,up,8,0
