trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,1,True,3.473156100139022,33.0,100.0,800.0,0,True,2,start,0.16666666666666666,60,0,0.9977967999875546,0.9977967999875546,0.4488565002102405,True,far-000,1,1,1,0.625,0.5,start,16,0
2,1,True,11.511498000007123,33.0,100.0,800.0,10,True,2,start,0.16666666666666666,60,0.17132369987666607,1.0031832000240684,1.1745068999007344,1.7246727999299765,False,far-160,1,1,0,0.625,0.5,start,16,0
3,1,True,6.2956860000267625,33.0,100.0,800.0,5,True,2,start,0.16666666666666666,60,0.09275710000656545,1.006325300084427,1.0990824000909925,1.2807777000125498,True,far-080,1,1,1,0.625,0.5,start,16,0
4,2,True,4.424699200084433,33.0,800.0,100.0,0,True,3,start,0.16666666666666666,60,0,0.9907862001564354,0.9907862001564354,10.644426399841905,True,far-rnd3,1,1,1,0.625,0.5,start,16,0
5,1,True,4.28646479989402,33.0,33.0,100.0,0,False,0,start,0.16666666666666666,60,0,0.9726440999656916,0.9726440999656916,6.725551599869505,False,far-rnd0,1,1,0,0.625,0.5,start,16,0
6,3,True,2.9651059999596328,33.0,50.0,100.0,0,True,1,start,0.16666666666666666,60,0,0.9944285999517888,0.9944285999517888,8.589470900129527,True,far-rnd1,1,1,1,0.625,0.5,start,16,0
7,2,True,1.6180527999531478,33.0,100.0,800.0,15,True,2,start,0.16666666666666666,60,0.2517524999566376,1.0234894000459462,1.2752419000025839,2.0747865999583155,False,far-240,1,1,0,0.625,0.5,start,16,0
