trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
32,True,5.032501299981959,800.0,33.0,50.0,0,False,3,up,0.25,44,0,0.7262772000103723,0.7262772000103723,1.6264392000157386,False,near-rnd3,5,2,1,1.25,1.0,up,16,0
33,True,1.2600917000090703,800.0,100.0,50.0,0,False,1,start,0.25,0,0,0.03515060001518577,0.03515060001518577,2.8619068000116386,False,near-rnd2,5,1,0,0.625,0.5,start,16,0
34,True,2.1833729000063613,800.0,50.0,33.0,15,False,2,start,0.25,0,0.24851119998493232,0.03801030002068728,0.2865215000056196,1.364324399997713,True,near-240,5,1,1,0.625,0.5,start,16,0
35,True,3.020749999996042,800.0,50.0,33.0,10,False,2,up,0.25,28,0.1719077000161633,0.49237280001398176,0.664280500030145,0.5424740000162274,True,near-160,5,1,1,0.625,0.5,up,16,0
36,True,2.4195412999833934,800.0,50.0,33.0,10,False,2,up,0.25,28,0.1712474999949336,0.5009768000163604,0.672224300011294,2.2146459000068717,False,near-160,6,2,1,1.25,1.0,up,16,0
37,True,3.1112162999925204,800.0,50.0,33.0,15,False,2,start,0.25,0,0.35753949999343604,0.03576559998327866,0.3933050999767147,1.833687500009546,True,near-240,6,1,1,0.625,0.5,start,16,0
38,True,1.9405414999928325,800.0,33.0,50.0,0,False,3,up,0.25,44,0,0.7227369999745861,0.7227369999745861,1.7876781999948435,True,near-rnd3,6,3,2,1.875,1.0,up,16,0
39,True,3.674569499999052,800.0,100.0,50.0,0,False,1,up,0.25,16,0,0.29632809999748133,0.29632809999748133,1.8775009000091814,True,near-rnd2,6,1,1,0.625,0.5,up,16,0
40,True,3.281294800020987,800.0,50.0,33.0,0,False,2,up,0.25,44,0,0.7428957000083756,0.7428957000083756,1.0412486999994144,True,near-000,6,3,3,1.875,1.0,up,16,0
41,True,1.9011570000147913,800.0,800.0,50.0,0,False,0,up,0.25,16,0,0.28723610000452027,0.28723610000452027,0.7974791000015102,True,near-rndm,6,1,1,0.625,0.5,up,16,0
42,True,1.6557917000027373,800.0,50.0,33.0,5,False,2,up,0.25,16,0.08907109999563545,0.29344519998994656,0.382516299985582,0.8206037000054494,True,near-080,6,1,1,0.625,0.5,up,16,0
43,True,2.1905288999842014,800.0,50.0,33.0,5,False,2,up,0.25,16,0.08845370000926778,0.2980816000199411,0.3865353000292089,0.5307904000219423,True,near-080,7,2,2,1.25,1.0,up,16,0
44,True,5.1869144999946,800.0,800.0,50.0,0,False,0,up,0.25,16,0,0.282518699998036,0.282518699998036,0.8128481000021566,True,near-rndm,7,2,2,1.25,1.0,up,16,0
45,True,2.3137655000027735,800.0,33.0,50.0,0,False,3,up,0.25,44,0,0.722512700012885,0.722512700012885,5.400730900000781,False,near-rnd3,7,4,2,2.5,0.5,up,16,0
46,True,1.2555996000010055,800.0,50.0,33.0,15,False,2,start,0.25,0,0.24728110001888126,0.04005380001035519,0.28733490002923645,1.6807587000075728,False,near-240,7,1,0,0.625,0.5,start,16,0
