trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
187,TRUE,3.7847331,33,100,800,0,TRUE,2,down,0.25,33,0,0.5662561,0.5662561,1.353339,TRUE,far-000,37,5,5,3.75,2,down,1,0
192,TRUE,2.1926103,33,100,800,0,TRUE,2,down,0.25,33,0,0.5672859,0.5672859,0.6231474,TRUE,far-000,38,6,6,4.5,2,down,1,0
199,TRUE,2.4875791,33,100,800,0,TRUE,2,down,0.25,33,0,0.5593399,0.5593399,0.9341239,FALSE,far-000,39,7,6,5.25,2,down,1,0
201,FALSE,1.9165424,33,100,800,0,TRUE,2,down,0.25,33,0,0.564574,0.564574,0.6969787,TRUE,far-000,40,8,7,6,2,down,1,0
210,TRUE,1.9255838,33,100,800,0,TRUE,2,down,0.25,33,0,0.5631316,0.5631316,0.6317712,TRUE,far-000,40,8,7,6,2,down,1,0
213,TRUE,6.191413,33,100,800,0,TRUE,2,down,0.25,33,0,0.5679442,0.5679442,0.5706637,TRUE,far-000,41,9,8,6.75,2,down,1,1
217,TRUE,3.3278378,33,100,800,0,TRUE,2,down,0.25,33,0,0.5614236,0.5614236,0.6329269,TRUE,far-000,42,10,9,7.5,2,down,1,1
225,TRUE,3.6364359,33,100,800,0,TRUE,2,down,0.25,33,0,0.5636867,0.5636867,0.5205852,TRUE,far-000,43,11,10,8.25,2,down,1,1
230,TRUE,1.7910951,33,100,800,0,TRUE,2,down,0.25,33,0,0.5615584,0.5615584,0.5865887,TRUE,far-000,44,12,11,9,2,down,1,1
235,TRUE,2.4803176,33,100,800,0,TRUE,2,down,0.25,33,0,0.5695693,0.5695693,0.5249437,TRUE,far-000,45,13,12,9.75,2,down,1,1
236,TRUE,2.3156432,33,100,800,0,TRUE,2,down,0.25,32,0,0.5514642,0.5514642,0.5511588,TRUE,far-000,46,1,1,0.75,2,down,1,0
242,TRUE,2.2219229,33,100,800,0,TRUE,2,down,0.25,32,0,0.5550892,0.5550892,0.8610289,TRUE,far-000,47,2,2,1.5,2,down,1,0
248,TRUE,1.7864885,33,100,800,0,TRUE,2,down,0.25,32,0,0.5560795,0.5560795,0.6729103,TRUE,far-000,48,3,3,2.25,2,down,1,0
251,TRUE,2.1106743,33,100,800,0,TRUE,2,down,0.25,32,0,0.5445291,0.5445291,0.6718474,TRUE,far-000,49,4,4,3,2,down,1,0
255,TRUE,2.633356,33,100,800,0,TRUE,2,down,0.25,32,0,0.5413449,0.5413449,0.6232568,TRUE,far-000,50,5,5,3.75,2,down,1,0
257,TRUE,2.9954995,33,100,800,0,TRUE,2,down,0.25,32,0,0.5486295,0.5486295,0.8326516,FALSE,far-000,51,6,5,4.5,2,down,1,0
259,TRUE,3.685869,33,100,800,0,TRUE,2,down,0.25,32,0,0.5489621,0.5489621,0.8070956,TRUE,far-000,52,7,6,5.25,2,down,1,0
260,TRUE,1.5228233,33,100,800,0,TRUE,2,down,0.25,32,0,0.5481284,0.5481284,0.7289218,TRUE,far-000,53,8,7,6,2,down,1,0
263,TRUE,3.7713326,33,100,800,0,TRUE,2,down,0.25,32,0,0.5484366,0.5484366,0.3852721,TRUE,far-000,54,9,8,6.75,2,down,1,1
264,TRUE,2.1249177,33,100,800,0,TRUE,2,down,0.25,32,0,0.5451156,0.5451156,0.540943,TRUE,far-000,55,10,9,7.5,2,down,1,1
267,TRUE,1.6798704,33,100,800,0,TRUE,2,down,0.25,32,0,0.552078,0.552078,0.7350349,TRUE,far-000,56,11,10,8.25,2,down,1,1
269,TRUE,2.1168369,33,100,800,0,TRUE,2,down,0.25,32,0,0.5485009,0.5485009,0.6095557,TRUE,far-000,57,12,11,9,2,down,1,1
271,TRUE,1.0705476,33,100,800,0,TRUE,2,down,0.25,32,0,0.5444972,0.5444972,0.5287993,TRUE,far-000,58,13,12,9.75,2,down,1,1
273,TRUE,1.493816,33,100,800,0,TRUE,2,down,0.25,31,0,0.5378077,0.5378077,0.4749162,TRUE,far-000,59,1,1,0.75,2,down,1,0
274,TRUE,4.0651764,33,100,800,0,TRUE,2,down,0.25,31,0,0.5330803,0.5330803,0.543485,TRUE,far-000,60,2,2,1.5,2,down,1,0
276,TRUE,1.1073623,33,100,800,0,TRUE,2,down,0.25,31,0,0.5299467,0.5299467,0.7173676,TRUE,far-000,61,3,3,2.25,2,down,1,0
279,TRUE,2.6503948,33,100,800,0,TRUE,2,down,0.25,31,0,0.5292114,0.5292114,0.5034679,TRUE,far-000,62,4,4,3,2,down,1,0
280,TRUE,1.5761219,33,100,800,0,TRUE,2,down,0.25,31,0,0.5319639,0.5319639,0.5194627,TRUE,far-000,63,5,5,3.75,2,down,1,0
283,TRUE,1.6088915,33,100,800,0,TRUE,2,down,0.25,31,0,0.5388025,0.5388025,0.5691517,TRUE,far-000,64,6,6,4.5,2,down,1,0
285,TRUE,3.2665621,33,100,800,0,TRUE,2,down,0.25,31,0,0.5306484,0.5306484,0.623729,TRUE,far-000,65,7,7,5.25,2,down,1,0
286,TRUE,3.1624639,33,100,800,0,TRUE,2,down,0.25,31,0,0.5336033,0.5336033,1.2723901,TRUE,far-000,66,8,8,6,2,down,1,0
288,TRUE,2.342861,33,100,800,0,TRUE,2,down,0.25,31,0,0.5285297,0.5285297,1.1865289,FALSE,far-000,67,9,8,6.75,2,down,1,1
291,TRUE,1.6579038,33,100,800,0,TRUE,2,down,0.25,31,0,0.5343844,0.5343844,0.5917551,TRUE,far-000,68,10,9,7.5,2,down,1,1
292,TRUE,2.6708595,33,100,800,0,TRUE,2,down,0.25,31,0,0.5333094,0.5333094,1.2923273,TRUE,far-000,69,11,10,8.25,2,down,1,1
294,TRUE,2.0087977,33,100,800,0,TRUE,2,down,0.25,31,0,0.5307655,0.5307655,0.5676681,TRUE,far-000,70,12,11,9,2,down,1,1
297,TRUE,1.7231955,33,100,800,0,TRUE,2,down,0.25,31,0,0.5277507,0.5277507,0.682611,TRUE,far-000,71,13,12,9.75,2,down,1,1
298,TRUE,1.5841037,33,100,800,0,TRUE,2,down,0.25,30,0,0.5181859,0.5181859,0.6735781,TRUE,far-000,72,1,1,0.75,2,down,1,0
300,TRUE,1.7735433,33,100,800,0,TRUE,2,down,0.25,30,0,0.5154539,0.5154539,0.6161617,TRUE,far-000,73,2,2,1.5,2,down,1,0
302,TRUE,3.9047432,33,100,800,0,TRUE,2,down,0.25,30,0,0.5165522,0.5165522,1.5112731,FALSE,far-000,74,3,2,2.25,2,down,1,0
305,TRUE,1.4839887,33,100,800,0,TRUE,2,down,0.25,30,0,0.5161071,0.5161071,0.7126884,TRUE,far-000,75,4,3,3,2,down,1,0
307,TRUE,1.7463403,33,100,800,0,TRUE,2,down,0.25,30,0,0.5183686,0.5183686,0.9809628,FALSE,far-000,76,5,3,3.75,2,down,1,0
309,TRUE,2.2010359,33,100,800,0,TRUE,2,down,0.25,30,0,0.5119189,0.5119189,0.9028223,TRUE,far-000,77,6,4,4.5,2,down,1,0
310,TRUE,1.6433226,33,100,800,0,TRUE,2,down,0.25,30,0,0.512959,0.512959,0.8457811,FALSE,far-000,78,7,4,5.25,2,down,1,0
313,TRUE,1.8998915,33,100,800,0,TRUE,2,down,0.25,30,0,0.5181781,0.5181781,0.9160329,FALSE,far-000,79,8,4,6,2,down,1,0
315,TRUE,1.619999,33,100,800,0,TRUE,2,down,0.25,30,0,0.5145717,0.5145717,1.7636254,FALSE,far-000,80,9,4,6.75,2,down,1,1
3,TRUE,1.9172227,33,100,800,5,TRUE,2,start,0.25,60,0.0945778,1.0137333,1.1083111,39.1732382,TRUE,far-080,1,1,1,0.75,0.5,start,16,0
9,TRUE,2.4616254,33,100,800,5,TRUE,2,start,0.25,60,0.0946903,1.0143992,1.1090895,62.7318046,TRUE,far-080,2,2,2,1.5,1,start,16,0
13,TRUE,3.9526708,33,100,800,5,TRUE,2,start,0.25,60,0.0914895,1.0026993,1.0941888,76.8420961,TRUE,far-080,3,3,3,2.25,1,start,16,0
17,TRUE,1.329549,33,100,800,5,TRUE,2,down,0.25,44,0.0953797,0.7508818,0.8462615,100.1679887,TRUE,far-080,4,1,1,0.75,0.5,down,16,0
21,TRUE,3.5455135,33,100,800,5,TRUE,2,down,0.25,44,0.088353,0.7585426,0.8468956,119.0932108,TRUE,far-080,5,2,2,1.5,1,down,16,0
29,TRUE,2.7137919,33,100,800,5,TRUE,2,down,0.25,44,0.0928647,0.7433395,0.8362042,147.7696106,TRUE,far-080,6,3,3,2.25,1,down,16,0
34,TRUE,10.3790491,33,100,800,5,TRUE,2,down,0.25,28,0.0933171,0.4922041,0.5855212,189.6165534,TRUE,far-080,7,1,1,0.75,0.5,down,16,0
36,TRUE,6.6950502,33,100,800,5,TRUE,2,down,0.25,28,0.0895036,0.4978179,0.5873215,206.2021296,TRUE,far-080,8,2,2,1.5,1,down,16,0
44,TRUE,1.4892336,33,100,800,5,TRUE,2,down,0.25,28,0.0883233,0.4915907,0.579914,242.6788497,FALSE,far-080,9,3,2,2.25,1,down,16,0
49,TRUE,3.7016688,33,100,800,5,TRUE,2,down,0.25,28,0.0893717,0.4958632,0.5852349,260.0013529,TRUE,far-080,10,4,3,3,0.5,down,16,0
55,TRUE,1.3472958,33,100,800,5,TRUE,2,down,0.25,28,0.0908029,0.4895403,0.5803432,278.2361499,TRUE,far-080,11,5,4,3.75,0.5,down,16,0
