trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,False,11.198883099998056,33.0,100.0,2,True,90,1.0,[21. 21.],60,0.96,0.9677708000017446,0.3319115000049351,True,near_2,1,1,1,0.75,0.5,start,8,0
2,True,4.976059700005862,800.0,100.0,1,False,0,1.0,[21. 21.],60,0.96,0.9651908000014373,0.3163027000045986,True,far_1,1,1,1,0.75,0.5,start,8,0
3,True,1.719868399995903,33.0,800.0,3,True,90,1.0,[21. 21.],60,0.96,0.9648019999949611,0.3332336000021314,True,near_3,1,1,1,0.75,0.5,start,8,0
4,True,6.55422980000003,800.0,33.0,3,False,0,1.0,[21. 21.],60,0.96,0.9612829000034253,0.28006789999926696,True,far_3,1,1,1,0.75,0.5,start,8,0
5,True,14.714176899993618,100.0,800.0,1,True,90,1.0,[21. 21.],60,0.96,0.9649056999987806,0.30656979999912437,True,near_1,1,1,1,0.75,0.5,start,8,0
6,True,5.536847799994575,100.0,100.0,0,True,90,1.0,[21. 21.],60,0.96,0.9674814999962109,0.33053410000138683,True,near_0,1,1,1,0.75,0.5,start,8,0
7,True,2.5940972000025795,800.0,50.0,2,False,0,1.0,[21. 21.],60,0.96,0.9650439999968512,0.2772197999947821,True,far_2,1,1,1,0.75,0.5,start,8,0
8,True,3.0855796999967424,33.0,800.0,3,True,90,1.0,[21. 21.],60,0.96,0.9916497000012896,0.3392355999967549,True,near_3,2,2,2,1.5,1.0,start,8,0
9,True,5.674223300004087,800.0,100.0,1,False,0,1.0,[21. 21.],60,0.96,0.9642729999977746,0.2920028000007733,True,far_1,2,2,2,1.5,1.0,start,8,0
10,True,2.018690600001719,800.0,50.0,2,False,90,1.0,[21. 21.],60,0.96,0.9653357999995933,0.33086370000091847,True,far_2,2,2,2,1.5,1.0,start,8,0
11,True,1.1411202999952366,50.0,100.0,1,True,0,1.0,[21. 21.],60,0.96,0.9666068000005907,0.3248835999984294,True,near_1,2,2,2,1.5,1.0,start,8,0
12,True,1.927804200000537,50.0,50.0,0,True,0,1.0,[21. 21.],60,0.96,0.9648600000000442,0.26136029999906896,True,near_0,2,2,2,1.5,1.0,start,8,0
