primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,requestedLatency,actualLatency,responseTime,correct
True,20.00359410000965,33.0,800.0,3,True,0,1.0,[20. 20.],0.96,0.9643345000222325,0.4831660999916494,True
True,1.930717899929732,800.0,100.0,1,False,90,1.0,[20. 20.],0.96,0.9660289001185447,0.4052804000675678,True
True,3.779716799966991,33.0,33.0,0,True,0,1.0,[20. 20.],0.96,0.9631042999681085,0.3170757999178022,True
True,6.950787200126797,33.0,50.0,1,True,0,1.0,[20. 20.],0.96,0.9650502000004053,0.3476043997798115,True
True,4.144588200142607,800.0,33.0,3,False,0,1.0,[20. 20.],0.96,0.9624501999933273,0.4377750002313405,True
True,3.383235599845648,50.0,800.0,2,True,90,1.0,[20. 20.],0.96,0.9652194997761399,0.3986159998457879,True
False,2.2103305000346154,800.0,50.0,2,False,90,1.0,[20. 20.],0.96,0.9667030000127852,1.086884899996221,True
True,4.328360200161114,100.0,50.0,1,False,0,1.0,[20. 20.],0.8320000000000001,0.8404272999614477,0.42228240007534623,True
True,5.874045499833301,800.0,800.0,0,True,0,1.0,[20. 20.],0.8320000000000001,0.8350812999997288,0.3886631999630481,True
True,2.852883900050074,50.0,800.0,2,True,0,1.0,[20. 20.],0.8320000000000001,0.8354636998847127,0.5306057000998408,True
True,1.6341826000716537,800.0,33.0,3,False,90,1.0,[20. 20.],0.8320000000000001,0.8351471999194473,0.4088027998805046,True
True,3.136975800152868,100.0,800.0,1,True,0,1.0,[20. 20.],0.8320000000000001,0.8353068998549134,0.22521400009281933,True
True,3.176382799865678,33.0,800.0,3,True,0,1.0,[20. 20.],0.8320000000000001,0.8364178999327123,0.4282863999251276,True
True,5.394904100103304,800.0,50.0,2,False,90,1.0,[20. 20.],0.96,0.9665967000182718,0.2486140001565218,True
True,1.2927924001123756,800.0,50.0,2,False,0,1.0,[20. 20.],0.8320000000000001,0.8366915001533926,0.2958360000047833,True
True,2.5424465998075902,50.0,33.0,1,False,90,1.0,[20. 20.],0.704,0.7076378001365811,0.2342085000127554,True
True,1.8717730999924242,33.0,800.0,3,True,0,1.0,[20. 20.],0.704,0.7094180998392403,0.5352558000013232,True
True,3.21470159990713,33.0,100.0,2,True,90,1.0,[20. 20.],0.704,0.7104648998938501,0.39570470014587045,True
True,4.422424299875274,100.0,100.0,0,True,0,1.0,[20. 20.],0.704,0.7119342000223696,0.3309627000708133,True
True,4.523391300113872,800.0,33.0,3,False,90,1.0,[20. 20.],0.704,0.7072739000432193,0.43177429982461035,True
True,2.05747660016641,100.0,800.0,1,True,0,1.0,[20. 20.],0.704,0.709995900047943,0.5035709000658244,True
True,2.678470800165087,50.0,33.0,1,False,0,1.0,[20. 20.],0.5760000000000001,0.5780106000602245,0.30808510002680123,True
True,2.252713399939239,50.0,50.0,0,True,0,1.0,[20. 20.],0.5760000000000001,0.5820086998865008,0.3079476999118924,True
False,1.9767008000053465,800.0,33.0,3,False,0,1.0,[20. 20.],0.5760000000000001,0.5799375998321921,0.5824891999363899,True
True,12.736512399977073,800.0,50.0,2,False,90,1.0,[20. 20.],0.704,0.7080945000052452,0.35884230001829565,True
True,8.366909100208431,50.0,800.0,2,True,90,1.0,[20. 20.],0.5760000000000001,0.5794782000593841,0.45386689994484186,True
True,3.913131000008434,100.0,800.0,1,True,90,1.0,[20. 20.],0.5760000000000001,0.5805875998921692,0.3431742999237031,True
True,2.8698974000290036,33.0,800.0,3,True,0,1.0,[20. 20.],0.5760000000000001,0.579195500118658,1.944873500149697,True
True,3.498422599863261,100.0,33.0,2,False,0,1.0,[20. 20.],0.5760000000000001,0.5791833999101073,0.3967065999750048,True
True,2.04833330004476,33.0,800.0,3,True,0,1.0,[20. 20.],0.448,0.4531904000323266,1.3153669000603259,True
True,1.9302840000018477,100.0,800.0,1,True,0,1.0,[20. 20.],0.448,0.4547780000139028,0.483162899967283,True
True,3.0540485999081284,800.0,100.0,1,False,0,1.0,[20. 20.],0.448,0.455363999819383,0.4532181001268327,True
True,7.569737599929795,33.0,33.0,0,True,90,1.0,[20. 20.],0.448,0.45180369983427227,0.32748400000855327,True
True,2.2421323000453413,50.0,800.0,2,True,90,1.0,[20. 20.],0.448,0.45471390010789037,0.5459147999063134,True
True,1.177699499996379,800.0,33.0,3,False,90,1.0,[20. 20.],0.5760000000000001,0.578605700051412,0.3999807999935001,True
True,1.9690867001190782,100.0,50.0,1,False,0,1.0,[20. 20.],0.32,0.32577180000953376,0.4791522999294102,True
True,3.7332767001353204,800.0,50.0,2,False,90,1.0,[20. 20.],0.448,0.4560847000684589,0.41257030004635453,True
False,3.902974900091067,33.0,33.0,0,True,0,1.0,[20. 20.],0.32,0.3222934000659734,0.3419735999777913,True
True,4.550193500006571,50.0,800.0,2,True,90,1.0,[20. 20.],0.32,0.32335150009021163,2.113233800046146,False
True,8.909586500143632,33.0,800.0,3,True,0,1.0,[20. 20.],0.32,0.32575839990749955,0.9122667000629008,False
True,2.941446099895984,50.0,100.0,1,True,90,1.0,[20. 20.],0.32,0.3284693001769483,0.3223540000617504,True
True,3.0982614001259208,800.0,33.0,3,False,90,1.0,[20. 20.],0.448,0.4515992000233382,0.393742399988696,True
True,1.4068759998772293,33.0,800.0,3,True,0,1.0,[20. 20.],0.384,0.38888649991713464,1.284112999914214,False
True,8.835083200130612,50.0,50.0,0,True,90,1.0,[20. 20.],0.32,0.327116800006479,0.34958799998275936,True
True,1.6359717000741512,50.0,100.0,1,True,0,1.0,[20. 20.],0.192,0.19926470005884767,0.5490066998172551,True
True,18.30290889996104,50.0,800.0,2,True,90,1.0,[20. 20.],0.384,0.38786500017158687,0.6381488998886198,True
True,5.802524799946696,800.0,100.0,1,False,0,1.0,[20. 20.],0.192,0.19746890012174845,0.5284779998473823,True
True,1.4800893000792712,100.0,33.0,2,False,90,1.0,[20. 20.],0.32,0.3234675999265164,0.6302207000553608,False
True,3.5857163998298347,800.0,33.0,3,False,0,1.0,[20. 20.],0.32,0.3211868000216782,1.4586082000751048,True
True,2.2853463999927044,100.0,800.0,1,True,0,1.0,[20. 20.],0.064,0.06842159992083907,0.7999431001953781,True
True,2.2956189000979066,100.0,33.0,2,False,0,1.0,[20. 20.],0.384,0.38758710003457963,0.44478200003504753,True
