trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,direction,size,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,0,50.0,100.0,1,True,start,0.25,60,0.96,0,0,True,near_1,1,1,1,0.625,0.5,start,16,0
2,True,0,33.0,33.0,0,True,start,0.25,60,0.96,0,0,True,near_0,1,1,1,0.625,0.5,start,16,0
3,True,0,50.0,800.0,2,True,start,0.25,60,0.96,0,50.652217299997574,True,near_2,1,1,1,0.625,0.5,start,16,0
4,True,50.652212999993935,100.0,50.0,1,False,start,0.25,60,0.96,50.652215999987675,50.652217299997574,True,far_1,1,1,1,0.625,0.5,start,16,0
5,True,50.652212999993935,33.0,800.0,3,True,start,0.25,60,0.96,50.652215999987675,11.45347639999818,True,near_3,1,1,1,0.625,0.5,start,16,0
6,True,11.453476499998942,800.0,33.0,3,False,start,0.25,60,0.96,11.453476400012732,55.873129599989625,True,far_3,1,1,1,0.625,0.5,start,16,0
7,True,55.8731254000013,100.0,33.0,2,False,start,0.25,60,0.96,55.873128299979726,55.873129599989625,True,far_2,1,1,1,0.625,0.5,start,16,0
8,True,55.8731254000013,100.0,33.0,2,False,start,0.25,44,0.704,55.873128299979726,55.873129599989625,True,far_2,2,1,1,0.625,1.0,start,16,0
9,True,55.8731254000013,800.0,33.0,3,False,start,0.25,44,0.704,55.873128299979726,26.80733140000666,True,far_3,2,1,1,0.625,1.0,start,16,0
10,True,26.80733139999211,50.0,100.0,1,True,start,0.25,44,0.704,26.80733140000666,26.80733140000666,True,near_1,2,1,1,0.625,1.0,start,16,0
11,True,26.80733139999211,33.0,100.0,2,True,start,0.25,44,0.704,26.80733140000666,26.80733140000666,True,near_2,2,1,1,0.625,1.0,start,16,0
12,True,26.80733139999211,33.0,800.0,3,True,start,0.25,44,0.704,26.80733140000666,66.67826849999256,True,near_3,2,1,1,0.625,1.0,start,16,0
13,True,66.6782641000027,50.0,50.0,0,True,start,0.25,44,0.704,66.67826719998266,66.67826849999256,True,near_0,2,1,1,0.625,1.0,start,16,0
14,True,66.6782641000027,800.0,100.0,1,False,start,0.25,44,0.704,66.67826719998266,34.194455300006666,True,far_1,2,1,1,0.625,1.0,start,16,0
15,True,34.1944555999944,800.0,100.0,1,False,start,0.25,28,0.448,34.194455300006666,69.71361799997976,True,far_1,3,1,1,0.625,1.0,start,16,0
16,True,69.71361229999457,33.0,800.0,3,True,start,0.25,28,0.448,69.71361649998289,37.63989540001785,False,near_3,3,1,0,0.625,1.0,start,16,0
17,True,37.6398474000016,800.0,800.0,0,True,start,0.25,28,0.448,37.6398954000033,73.42084029997932,True,near_0,3,1,1,0.625,1.0,start,16,0
18,True,73.42088389999117,800.0,50.0,2,False,start,0.25,28,0.448,73.42083899998397,45.07967680001457,True,far_2,3,1,1,0.625,1.0,start,16,0
19,True,45.079629200001364,800.0,33.0,3,False,start,0.25,28,0.448,45.07967690001533,80.30943889997434,True,far_3,3,1,1,0.625,1.0,start,16,0
20,True,80.30948169999465,100.0,800.0,1,True,start,0.25,28,0.448,80.30943719997595,47.48606920002203,True,near_1,3,1,1,0.625,1.0,start,16,0
21,True,47.48602129999199,33.0,100.0,2,True,start,0.25,28,0.448,47.486069500024314,47.48606920002203,True,near_2,3,1,1,0.625,1.0,start,16,0
22,True,47.48602129999199,33.0,800.0,3,True,up,0.25,44,0.704,47.486069500024314,87.01691689997097,True,near_3,4,1,1,0.625,0.5,up,16,0
23,True,87.01696029999584,800.0,50.0,2,False,start,0.25,12,0.192,87.01691529997333,51.133557500026654,True,far_2,4,1,1,0.625,0.5,start,16,0
24,True,51.13350979999814,800.0,100.0,1,False,start,0.25,12,0.192,51.13355790001515,91.51068729996041,True,far_1,4,1,1,0.625,0.5,start,16,0
25,True,91.51073009999527,33.0,50.0,1,True,start,0.25,12,0.192,91.5106854999758,91.51068729996041,False,near_1,4,1,0,0.625,0.5,start,16,0
26,True,91.51073009999527,800.0,33.0,3,False,start,0.25,12,0.192,91.5106854999758,60.49348670002655,False,far_3,4,1,0,0.625,0.5,start,16,0
27,True,60.49343919999956,800.0,800.0,0,True,start,0.25,12,0.192,60.493487100015045,97.90075829996204,True,near_0,4,1,1,0.625,0.5,start,16,0
28,True,97.90080119999766,33.0,100.0,2,True,start,0.25,12,0.192,97.90075649997743,97.90075829996204,False,near_2,4,1,0,0.625,0.5,start,16,0
29,True,97.90080119999766,100.0,100.0,0,True,start,0.25,0,0.0,97.90075649997743,97.90075829996204,False,near_0,5,1,0,0.625,0.5,start,16,0
30,True,97.90080119999766,100.0,33.0,2,False,start,0.25,0,0.0,97.90075649997743,97.90075829996204,False,far_2,5,1,0,0.625,0.5,start,16,0
31,True,97.90080119999766,100.0,800.0,1,True,up,0.25,28,0.448,97.90075649997743,81.65251610003179,True,near_1,5,1,1,0.625,0.5,up,16,0
32,True,81.65246839998872,33.0,800.0,3,True,up,0.25,44,0.704,81.65251660002104,104.46699319996696,True,near_3,5,2,2,1.25,1.0,up,16,0
33,True,104.46703620000335,800.0,33.0,3,False,up,0.25,28,0.448,104.46699119996629,84.72132500002044,False,far_3,5,1,0,0.625,0.5,up,16,0
34,True,84.72127769999497,50.0,33.0,1,False,start,0.25,0,0.0,84.72132580002653,84.72132500002044,False,far_1,5,1,0,0.625,0.5,start,16,0
35,True,84.72127769999497,50.0,800.0,2,True,up,0.25,28,0.448,84.72132580002653,111.17679859997588,True,near_2,5,1,1,0.625,0.5,up,16,0
36,True,111.17684159999772,800.0,33.0,3,False,up,0.25,28,0.448,111.17679649995989,87.54874670002027,True,far_3,6,2,1,1.25,1.0,up,16,0
37,True,87.54869959999633,100.0,33.0,2,False,up,0.25,16,0.256,87.54874760002713,87.54874670002027,True,far_2,6,1,1,0.625,0.5,up,16,0
38,True,87.54869959999633,800.0,800.0,0,True,up,0.25,16,0.256,87.54874760002713,123.42298639997898,True,near_0,6,1,1,0.625,0.5,up,16,0
39,True,123.42302930000005,33.0,800.0,3,True,up,0.25,44,0.704,123.42298389995995,90.9026902000187,True,near_3,6,3,3,1.875,1.0,up,16,0
40,True,90.9026426999917,800.0,100.0,1,False,up,0.25,16,0.256,90.90269140002783,125.85118989997136,True,far_1,6,1,1,0.625,0.5,up,16,0
41,True,125.85123290000774,33.0,100.0,2,True,up,0.25,28,0.448,125.85118729996611,125.85118989997136,True,near_2,6,2,2,1.25,1.0,up,16,0
42,True,125.85123290000774,50.0,100.0,1,True,up,0.25,28,0.448,125.85118729996611,125.85118989997136,True,near_1,6,2,2,1.25,1.0,up,16,0
43,True,125.85123290000774,33.0,800.0,3,True,down,0.25,28,0.448,125.85118729996611,100.55283620001865,False,near_3,7,1,0,0.625,0.5,down,8,0
44,True,100.55278889997862,800.0,33.0,3,False,up,0.25,28,0.448,100.55283750002855,127.9652862999792,True,far_3,7,3,2,1.875,1.0,up,16,0
45,True,127.96532930001558,100.0,50.0,1,False,up,0.25,16,0.256,127.96528359995864,127.9652862999792,False,far_1,7,2,1,1.25,1.0,up,16,0
46,True,127.96532930001558,800.0,50.0,2,False,up,0.25,16,0.256,127.96528359995864,106.87833670001419,True,far_2,7,2,2,1.25,1.0,up,16,0
47,True,106.87828919997264,50.0,50.0,0,True,up,0.25,16,0.256,106.87833800003864,106.87833670001419,True,near_0,7,2,2,1.25,1.0,up,16,0
48,True,106.87828919997264,50.0,800.0,2,True,up,0.25,28,0.448,106.87833800003864,133.38285309997445,False,near_2,7,3,2,1.875,1.0,up,16,0
49,True,133.3828958000231,50.0,100.0,1,True,up,0.25,28,0.448,133.38285049995466,133.38285309997445,True,near_1,7,3,3,1.875,1.0,up,16,0
50,True,133.3828958000231,33.0,800.0,3,True,down,0.25,28,0.448,133.38285049995466,113.87742990002153,True,near_3,8,2,1,1.25,1,down,8,0
51,True,113.87738279996847,100.0,33.0,2,False,up,0.25,16,0.256,113.87743120003142,113.87742990002153,False,far_2,8,3,2,1.875,1.0,up,16,0
52,True,113.87738279996847,800.0,33.0,3,False,up,0.25,28,0.448,113.87743120003142,145.09124249996967,True,far_3,8,4,3,2.5,0.5,up,16,0
53,True,145.09128520001832,100.0,50.0,1,False,up,0.25,16,0.256,145.09123989996442,145.09124249996967,False,far_1,8,3,1,1.875,1.0,up,16,0
54,True,145.09128520001832,50.0,800.0,2,True,up,0.25,28,0.448,145.09123989996442,119.13678510002501,False,near_2,8,4,2,2.5,0.5,up,16,0
55,True,119.1367378999712,100.0,800.0,1,True,down,0.25,12,0.192,119.13678630003415,148.02273529996455,True,near_1,8,1,1,0.625,0.5,down,8,0
56,True,148.02277800002776,50.0,50.0,0,True,up,0.25,16,0.256,148.02273289996083,148.02273529996455,True,near_0,8,3,3,1.875,1.0,up,16,0
57,True,148.02277800002776,33.0,100.0,2,True,up,0.25,28,0.448,148.02273289996083,148.02273529996455,True,near_2,9,5,3,3.125,0.5,up,16,0
58,True,148.02277800002776,800.0,33.0,3,False,up,0.25,28,0.448,148.02273289996083,129.2583769000339,False,far_3,9,5,3,3.125,0.5,up,16,0
59,True,129.25832999996783,800.0,50.0,2,False,up,0.25,16,0.256,129.25837790002697,152.20623039995553,True,far_2,9,4,3,2.5,0.5,up,16,0
60,True,152.206272800031,33.0,50.0,1,True,down,0.25,12,0.192,152.20622809996712,152.20623039995553,True,near_1,9,2,2,1.25,1,down,8,0
61,True,152.206272800031,33.0,800.0,3,True,down,0.25,28,0.448,152.20622809996712,136.71536790003302,False,near_3,9,3,1,1.875,1,down,8,0
62,True,136.71532069996465,50.0,50.0,0,True,down,0.25,0,0.0,136.71536880002532,136.71536790003302,False,near_0,9,1,0,0.625,0.5,down,8,0
63,True,136.71532069996465,50.0,33.0,1,False,up,0.25,32,0.512,136.71536880002532,136.71536790003302,True,far_1,9,1,1,0.625,0.5,up,16,0
64,True,136.71532069996465,100.0,800.0,1,True,down,0.25,12,0.192,136.71536880002532,163.16854539996712,False,near_1,10,3,2,1.875,1,down,8,0
65,True,163.16858770002727,800.0,33.0,3,False,up,0.25,28,0.448,163.16854309996415,141.0588782000268,True,far_3,10,6,4,3.75,0.5,up,16,0
66,True,141.05883149996225,33.0,800.0,3,True,down,0.25,28,0.448,141.05887910003366,168.28716249996796,False,near_3,10,4,1,2.5,1,down,8,0
67,True,168.28720390003582,800.0,100.0,1,False,up,0.25,32,0.512,168.28715979996196,147.54444000002695,True,far_1,10,2,2,1.25,1.0,up,16,0
68,True,147.54439379995165,800.0,50.0,2,False,up,0.25,16,0.256,147.54444130003685,177.75095779997355,False,far_2,10,5,3,3.125,0.5,up,16,0
69,True,177.75099980004597,50.0,800.0,2,True,up,0.25,28,0.448,177.75095519995375,150.6263671000197,True,near_2,10,6,4,3.75,0.5,up,16,0
70,True,150.6263208999444,33.0,33.0,0,True,down,0.25,0,0.0,150.62636840004416,150.6263671000197,True,near_0,10,2,1,1.25,1,down,8,0
71,True,150.6263208999444,50.0,33.0,1,False,up,0.25,32,0.512,150.62636840004416,150.6263671000197,True,far_1,11,3,3,1.875,1.0,up,16,0
72,True,150.6263208999444,800.0,33.0,3,False,up,0.25,28,0.448,150.62636840004416,195.55094959997223,True,far_3,11,7,5,4.375,0.5,up,16,0
73,True,195.5509915000439,100.0,33.0,2,False,up,0.25,16,0.256,195.55094689995167,195.55094959997223,True,far_2,11,6,4,3.75,0.5,up,16,0
74,True,195.5509915000439,33.0,800.0,3,True,up,0.25,36,0.5760000000000001,195.55094689995167,160.80556610002532,False,near_3,11,1,0,0.625,1,up,4,0
75,True,160.80551979994925,33.0,50.0,1,True,down,0.25,12,0.192,160.80556730003445,160.80556610002532,False,near_1,11,4,2,2.5,1,down,8,0
76,True,160.80551979994925,50.0,800.0,2,True,up,0.25,28,0.448,160.80556730003445,200.5507823999651,True,near_2,11,7,5,4.375,0.5,up,16,0
77,True,200.55082430003677,100.0,100.0,0,True,down,0.25,0,0.0,200.55077959995833,200.5507823999651,True,near_0,11,3,2,1.875,1,down,8,0
78,True,200.55082430003677,33.0,800.0,3,True,up,0.25,36,0.5760000000000001,200.55077959995833,174.5706772000267,True,near_3,12,2,1,1.25,1,up,4,0
79,True,174.57063089995063,800.0,50.0,2,False,up,0.25,16,0.256,174.57067860003735,207.06101439996564,False,far_2,12,7,4,4.375,0.5,up,16,0
80,True,207.06105620003655,33.0,100.0,2,True,down,0.25,12,0.192,207.06101159995887,207.06101439996564,False,near_2,12,1,0,0.625,0.5,down,8,0
81,True,207.06105620003655,800.0,33.0,3,False,down,0.25,12,0.192,207.06101159995887,184.45897630002582,False,far_3,12,1,0,0.625,0.5,down,8,0
82,True,184.45892989996355,800.0,800.0,0,True,down,0.25,0,0.0,184.45897770003648,212.0058043999743,False,near_0,12,4,2,2.5,1,down,8,0
83,True,212.00584650003293,800.0,100.0,1,False,down,0.25,16,0.256,212.00580169995374,190.01092250001966,True,far_1,12,1,1,0.625,0.5,down,8,0
84,True,190.01087639995967,100.0,800.0,1,True,down,0.25,12,0.192,190.01092390004487,219.18470469997555,True,near_1,12,5,3,3.125,1,down,8,0
85,True,219.18474660003267,33.0,50.0,1,True,down,0.25,12,0.192,219.1847020999412,219.18470469997555,True,near_1,13,6,4,3.75,1,down,8,0
86,True,219.18474660003267,33.0,100.0,2,True,down,0.25,12,0.192,219.1847020999412,219.18470469997555,True,near_2,13,2,1,1.25,1,down,8,0
87,True,219.18474660003267,100.0,33.0,2,False,up,0.25,16,0.256,219.1847020999412,219.18470469997555,True,far_2,13,8,5,5.0,0.5,up,16,0
88,True,219.18474660003267,800.0,33.0,3,False,down,0.25,12,0.192,219.1847020999412,208.08027810002386,False,far_3,13,2,0,1.25,1,down,8,0
89,True,208.0802318999631,33.0,800.0,3,True,up,0.25,36,0.5760000000000001,208.08027930004755,221.92794259997027,False,near_3,13,3,1,1.875,1,up,4,0
90,True,221.92798430002586,800.0,100.0,1,False,down,0.25,16,0.256,221.92794009995123,212.94675170001574,True,far_1,13,2,2,1.25,1,down,8,0
