trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,5.009908800013363,800.0,33.0,3,False,90,1.0,[14. 14.],60,0.96,0.9630963001400232,1.2058818000368774,True,far_3,1,1,1,0.75,0.5,start,8,0
2,True,6.867658300092444,100.0,50.0,1,False,90,1.0,[14. 14.],60,0.96,0.9649930000305176,0.4581259998958558,True,far_1,1,1,1,0.75,0.5,start,8,0
3,True,11.127388499910012,800.0,50.0,2,False,90,1.0,[14. 14.],60,0.96,0.9657346999738365,0.6206550998613238,True,far_2,1,1,1,0.75,0.5,start,8,0
4,True,8.637814000016078,100.0,800.0,1,True,0,1.0,[14. 14.],60,0.96,0.9659625999629498,0.46069060009904206,True,near_1,1,1,1,0.75,0.5,start,8,0
5,True,1.643394700018689,50.0,800.0,2,True,90,1.0,[14. 14.],60,0.96,0.9650046001188457,0.376545500010252,True,near_2,1,1,1,0.75,0.5,start,8,0
6,True,6.823363200062886,50.0,50.0,0,True,0,1.0,[14. 14.],60,0.96,0.9656958999112248,0.34893690003082156,True,near_0,1,1,1,0.75,0.5,start,8,0
7,True,2.4122554999776185,33.0,800.0,3,True,0,1.0,[14. 14.],60,0.96,0.9677355999592692,0.38633839995600283,True,near_3,1,1,1,0.75,0.5,start,8,0
