trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,direction,size,intensity,requestedLatency,actualLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,1,True,2.9300737000303343,100.0,50.0,1,False,start,0.16666666666666666,60,0.96,1.006809799990151,1.006809799990151,0.3234202999738045,True,far_1,1,1,1,0.625,0.5,start,16,0
2,1,True,1.3151385000091977,33.0,100.0,2,True,start,0.16666666666666666,60,0.96,0.9961037000175565,0.9961037000175565,0.2942497999756597,True,near_2,1,1,1,0.625,0.5,start,16,0
3,1,True,1.9762201000121422,33.0,50.0,1,True,start,0.16666666666666666,60,0.96,0.9877703999518417,0.9877703999518417,0.3079717999789864,True,near_1,1,1,1,0.625,0.5,start,16,0
4,1,True,1.3761998999980278,100.0,33.0,2,False,start,0.16666666666666666,60,0.96,0.9850959000177681,0.9850959000177681,0.3129019000334665,True,far_2,1,1,1,0.625,0.5,start,16,0
5,3,True,1.7596828999812715,50.0,50.0,0,True,start,0.16666666666666666,60,0.96,1.0133615999948233,1.0133615999948233,0.2605641999980435,True,near_0,1,1,1,0.625,0.5,start,16,0
6,2,True,0.9460389000014402,33.0,800.0,3,True,start,0.16666666666666666,60,0.96,0.9867964000441134,0.9867964000441134,0.3711959000211209,True,near_3,1,1,1,0.625,0.5,start,16,0
7,2,True,2.10254300001543,800.0,33.0,3,False,start,0.16666666666666666,60,0.96,0.9895380999660119,0.9895380999660119,0.35881100001279265,True,far_3,1,1,1,0.625,0.5,start,16,0
8,2,True,1.680041200015694,800.0,100.0,1,False,start,0.16666666666666666,44,0.704,0.7582974000251852,0.7582974000251852,0.42091320001054555,True,far_1,2,1,1,0.625,1.0,start,16,0
9,2,True,1.3415070000337437,33.0,50.0,1,True,start,0.16666666666666666,44,0.704,0.7335771000362001,0.7335771000362001,0.3726405000197701,True,near_1,2,1,1,0.625,1.0,start,16,0
10,1,True,1.974793499975931,800.0,33.0,3,False,start,0.16666666666666666,44,0.704,0.727038300014101,0.727038300014101,0.49044269998557866,True,far_3,2,1,1,0.625,1.0,start,16,0
11,1,True,1.566115900001023,33.0,800.0,3,True,start,0.16666666666666666,44,0.704,0.7298927999800071,0.7298927999800071,0.4731927000102587,True,near_3,2,1,1,0.625,1.0,start,16,0
12,1,True,1.515633600007277,50.0,800.0,2,True,start,0.16666666666666666,44,0.704,0.73336479999125,0.73336479999125,0.531561000039801,True,near_2,2,1,1,0.625,1.0,start,16,0
13,1,True,2.060364499979187,100.0,100.0,0,True,start,0.16666666666666666,44,0.704,0.7370017999783158,0.7370017999783158,0.3240700999740511,True,near_0,2,1,1,0.625,1.0,start,16,0
14,3,True,1.4517182999989018,800.0,50.0,2,False,start,0.16666666666666666,44,0.704,0.769358099962119,0.769358099962119,0.3365860999911092,True,far_2,2,1,1,0.625,1.0,start,16,0
15,1,True,1.4811335999984294,33.0,800.0,3,True,start,0.16666666666666666,28,0.448,0.47748000000137836,0.47748000000137836,1.007192200049758,True,near_3,3,1,1,0.625,1.0,start,16,0
16,2,True,1.748754900007043,800.0,50.0,2,False,start,0.16666666666666666,28,0.448,0.5047332000103779,0.5047332000103779,0.5795257999561727,True,far_2,3,1,1,0.625,1.0,start,16,0
17,2,True,2.3068828000104986,800.0,33.0,3,False,start,0.16666666666666666,28,0.448,0.4853147999965586,0.4853147999965586,1.4149773999815807,False,far_3,3,1,0,0.625,1.0,start,16,0
18,2,True,2.850284799991641,50.0,33.0,1,False,start,0.16666666666666666,28,0.448,0.48450389999197796,0.48450389999197796,0.6364425000501797,True,far_1,3,1,1,0.625,1.0,start,16,0
19,2,True,2.4147807999979705,33.0,100.0,2,True,start,0.16666666666666666,28,0.448,0.49342680000700057,0.49342680000700057,1.468071399955079,True,near_2,3,1,1,0.625,1.0,start,16,0
20,1,True,4.255389199999627,100.0,100.0,0,True,start,0.16666666666666666,28,0.448,0.48125139996409416,0.48125139996409416,0.4417719999910332,True,near_0,3,1,1,0.625,1.0,start,16,0
