trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,direction,size,intensity,requestedLatency,actualLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,10.786591600000975,33.0,100.0,2,True,start,0.25,60,0.96,1.0134061999997357,1.0134061999997357,0.0949718999909237,True,near_2,1,1,1,0.625,0.5,start,16,0
2,True,3.4172907000029227,800.0,800.0,0,True,start,0.25,60,0.96,0.9844933999993373,0.9844933999993373,20.1377935000055,True,near_0,1,1,1,0.625,0.5,start,16,0
3,True,1.6062148999917554,33.0,800.0,3,True,start,0.25,60,0.96,0.9872820000018692,0.9872820000018692,23.06659669999499,True,near_3,1,1,1,0.625,0.5,start,16,0
4,True,3.0865284000028623,33.0,50.0,1,True,start,0.25,60,0.96,0.9894644000014523,0.9894644000014523,0.3189672000007704,True,near_1,1,1,1,0.625,0.5,start,16,0
5,True,2.0719184999907156,800.0,33.0,3,False,start,0.25,60,0.96,0.9812601000012364,0.9812601000012364,30.92311570000311,True,far_3,1,1,1,0.625,0.5,start,16,0
6,True,1.4968258000008063,800.0,50.0,2,False,start,0.25,60,0.96,0.9943083999969531,0.9943083999969531,33.7252307000017,True,far_2,1,1,1,0.625,0.5,start,16,0
7,True,1.4622913000057451,800.0,100.0,1,False,start,0.25,60,0.96,1.0004644999862649,1.0004644999862649,36.55060100000992,True,far_1,1,1,1,0.625,0.5,start,16,0
