trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,direction,size,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,0,50.0,800.0,2,True,start,0.25,60,0.96,0,17.96595239999442,True,near_2,1,1,1,0.625,0.5,start,16,0
2,True,17.965947500000766,33.0,800.0,3,True,start,0.25,60,0.96,17.965950999998313,4.475703200005228,True,near_3,1,1,1,0.625,0.5,start,16,0
3,True,4.475703699994483,100.0,33.0,2,False,start,0.25,60,0.96,4.475703399999475,4.475703200005228,True,far_2,1,1,1,0.625,0.5,start,16,0
4,True,4.475703699994483,800.0,33.0,3,False,start,0.25,60,0.96,4.475703399999475,24.162596099995426,True,far_3,1,1,1,0.625,0.5,start,16,0
5,True,24.162577200004307,33.0,50.0,1,True,start,0.25,60,0.96,24.16258039999957,24.162596099995426,True,near_1,1,1,1,0.625,0.5,start,16,0
6,True,24.162577200004307,50.0,33.0,1,False,start,0.25,60,0.96,24.16258039999957,24.162596099995426,True,far_1,1,1,1,0.625,0.5,start,16,0
7,True,24.162577200004307,800.0,800.0,0,True,start,0.25,60,0.96,24.16258039999957,15.20566510000208,True,near_0,1,1,1,0.625,0.5,start,16,0
8,True,15.205679499995313,33.0,33.0,0,True,start,0.25,44,0.704,15.205679399994551,15.20566510000208,True,near_0,2,1,1,0.625,1.0,start,16,0
9,True,15.205679499995313,800.0,33.0,3,False,start,0.25,44,0.704,15.205679399994551,31.063599899993278,True,far_3,2,1,1,0.625,1.0,start,16,0
10,True,31.063581300004444,50.0,800.0,2,True,start,0.25,44,0.704,31.063584200004698,17.69882960000541,True,near_2,2,1,1,0.625,1.0,start,16,0
11,True,17.698843399994075,33.0,800.0,3,True,start,0.25,44,0.704,17.698843999991368,34.81221299999015,True,near_3,2,1,1,0.625,1.0,start,16,0
12,True,34.81219480000436,800.0,50.0,2,False,start,0.25,44,0.704,34.81219730000885,20.660828200008837,True,far_2,2,1,1,0.625,1.0,start,16,0
13,False,20.660842199991748,50.0,100.0,1,True,start,0.25,44,0.704,20.660842599987518,20.660828200008837,True,near_1,2,1,1,0.625,1.0,start,16,0
14,True,20.660842199991748,800.0,100.0,1,False,start,0.25,44,0.704,20.660842599987518,43.71955009998783,True,far_1,2,1,1,0.625,1.0,start,16,0
15,True,43.719531300004746,100.0,33.0,2,False,start,0.25,28,0.448,43.71953440000652,43.71955009998783,False,far_2,3,1,0,0.625,1.0,start,16,0
16,True,43.719531300004746,50.0,800.0,2,True,start,0.25,28,0.448,43.71953440000652,30.26467090001097,False,near_2,3,1,0,0.625,1.0,start,16,0
17,True,30.26468529998965,800.0,100.0,1,False,start,0.25,28,0.448,30.264685399990412,46.570050299989816,True,far_1,3,1,1,0.625,1.0,start,16,0
18,True,46.57003130000521,33.0,800.0,3,True,start,0.25,28,0.448,46.57003440000699,35.274769000010565,False,near_3,3,1,0,0.625,1.0,start,16,0
19,True,35.27478329999576,100.0,800.0,1,True,start,0.25,44,0.704,35.27478369999153,50.2898484999896,True,near_1,2,1,1,0.625,1.0,start,16,0
20,True,50.289829699999245,800.0,33.0,3,False,start,0.25,28,0.448,50.28983240000525,44.70040580000932,True,far_3,3,1,1,0.625,1.0,start,16,0
21,True,44.7004203999968,800.0,800.0,0,True,start,0.25,28,0.448,44.70042069999181,54.06431149999116,True,near_0,3,1,1,0.625,1.0,start,16,0
22,True,54.064292700000806,800.0,50.0,2,False,up,0.25,44,0.704,54.06429540000681,50.89564570000948,True,far_2,4,1,1,0.625,0.5,up,16,0
23,True,50.89565999999468,33.0,33.0,0,True,start,0.25,12,0.192,50.89566039999045,50.89564570000948,True,near_0,4,1,1,0.625,0.5,start,16,0
24,True,50.89565999999468,800.0,33.0,3,False,start,0.25,12,0.192,50.89566039999045,62.68495259998599,True,far_3,4,1,1,0.625,0.5,start,16,0
25,True,62.68493400000443,33.0,100.0,2,True,up,0.25,44,0.704,62.68493650000892,62.68495259998599,True,near_2,4,1,1,0.625,0.5,up,16,0
26,True,62.68493400000443,800.0,100.0,1,False,start,0.25,12,0.192,62.68493650000892,55.957919500011485,False,far_1,4,1,0,0.625,0.5,start,16,0
27,True,55.95793319999211,33.0,50.0,1,True,start,0.25,28,0.448,55.957934199985175,55.957919500011485,True,near_1,3,1,1,0.625,1.0,start,16,0
28,True,55.95793319999211,33.0,800.0,3,True,up,0.25,44,0.704,55.957934199985175,78.07954589998553,True,near_3,4,1,1,0.625,0.5,up,16,0
29,True,78.07952800000203,800.0,33.0,3,False,start,0.25,0,0.0,78.07952990000922,58.799545600013516,True,far_3,5,1,1,0.625,0.5,start,16,0
30,True,58.799559299994144,33.0,800.0,3,True,up,0.25,44,0.704,58.799560299987206,80.37102909998066,True,near_3,5,2,2,1.25,1.0,up,16,0
31,True,80.37101100000291,800.0,50.0,2,False,up,0.25,44,0.704,80.37101310001162,61.283778500015615,True,far_2,5,2,2,1.25,1.0,up,16,0
32,True,61.283791799993196,50.0,100.0,1,True,start,0.25,12,0.192,61.283793199989304,61.283778500015615,True,near_1,4,1,1,0.625,0.5,start,16,0
33,True,61.283791799993196,50.0,50.0,0,True,start,0.25,0,0.0,61.283793199989304,61.283778500015615,True,near_0,5,1,1,0.625,0.5,start,16,0
34,True,61.283791799993196,33.0,100.0,2,True,up,0.25,44,0.704,61.283793199989304,61.283778500015615,True,near_2,5,2,2,1.25,1.0,up,16,0
35,True,61.283791799993196,100.0,50.0,1,False,up,0.25,28,0.448,61.283793199989304,61.283778500015615,True,far_1,5,1,1,0.625,0.5,up,16,0
36,True,61.283791799993196,50.0,800.0,2,True,up,0.25,44,0.704,61.283793199989304,100.79514049998397,True,near_2,6,3,3,1.875,1.0,up,16,0
37,True,100.79512340000656,50.0,33.0,1,False,up,0.25,28,0.448,100.79512460000842,100.79514049998397,True,far_1,6,2,2,1.25,1.0,up,16,0
38,True,100.79512340000656,100.0,100.0,0,True,start,0.25,0,0.0,100.79512460000842,100.79514049998397,False,near_0,6,1,0,0.625,0.5,start,16,0
39,True,100.79512340000656,800.0,33.0,3,False,start,0.25,0,0.0,100.79512460000842,84.49726840001676,True,far_3,6,1,1,0.625,0.5,start,16,0
40,True,84.49728099998902,100.0,33.0,2,False,up,0.25,44,0.704,84.49728279998817,84.49726840001676,True,far_2,6,3,3,1.875,1.0,up,16,0
41,True,84.49728099998902,33.0,800.0,3,True,up,0.25,44,0.704,84.49728279998817,106.4472507999817,True,near_3,6,3,3,1.875,1.0,up,16,0
42,True,106.44723370001157,33.0,50.0,1,True,start,0.25,0,0.0,106.44723500000691,106.4472507999817,False,near_1,5,1,0,0.625,0.5,start,16,0
