trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,23.906698300037533,100.0,33.0,2,False,90,1.0,[20. 20.],60,0.96,0.9631483000703156,0.3139762000646442,True,far_2,1,1,1,0.75,0.5,start,8,0
2,True,1.2746796000283211,33.0,800.0,3,True,90,1.0,[20. 20.],60,0.96,0.9642161000519991,0.39571589999832213,True,near_3,1,1,1,0.75,0.5,start,8,0
3,True,1.4011873002164066,800.0,100.0,1,False,0,1.0,[20. 20.],60,0.96,0.9684860999695957,0.34961749985814095,True,far_1,1,1,1,0.75,0.5,start,8,0
4,True,1.9615549999289215,50.0,800.0,2,True,90,1.0,[20. 20.],60,0.96,0.9628026001155376,0.3807848999276757,True,near_2,1,1,1,0.75,0.5,start,8,0
5,True,1.2415601999964565,800.0,33.0,3,False,0,1.0,[20. 20.],60,0.96,0.9631798001937568,0.323989599943161,True,far_3,1,1,1,0.75,0.5,start,8,0
6,True,3.0624699001200497,50.0,50.0,0,True,90,1.0,[20. 20.],60,0.96,0.9643109999597073,0.3379104998894036,True,near_0,1,1,1,0.75,0.5,start,8,0
7,True,1.434701600112021,100.0,800.0,1,True,0,1.0,[20. 20.],60,0.96,0.9640297000296414,0.35720980004407465,True,near_1,1,1,1,0.75,0.5,start,8,0
