trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,False,13.932147999992594,100.0,800.0,1,True,90,1.0,[20. 20.],60,0.96,0.9640827998518944,0.012906299903988838,False,1_diopter_2-3,1,1,0,0.75,0.5,start,8,0
2,True,4.2094757000450045,50.0,800.0,2,True,0,1.0,[20. 20.],60,0.96,0.9647574999835342,0.17372550000436604,True,2_diopter_1-3,1,1,1,0.75,0.5,start,8,0
3,True,2.4831149000674486,100.0,50.0,1,False,0,1.0,[20. 20.],60,0.96,0.9683128998149186,0.3337807999923825,True,1_diopter_2-1,1,1,1,0.75,0.5,start,8,0
4,True,1.5662161000072956,50.0,100.0,1,True,0,1.0,[20. 20.],60,0.96,0.9659594998229295,0.2984217000193894,True,1_diopter_1-2,1,1,1,0.75,0.5,start,8,0
5,False,2.4223715998232365,100.0,33.0,2,False,0,1.0,[20. 20.],60,0.96,0.9613402001559734,0.2068857999984175,True,2_diopter_2-0,1,1,1,0.75,0.5,start,8,0
6,True,4.695240400033072,50.0,33.0,1,False,0,1.0,[20. 20.],60,0.96,1.0140505998861045,0.2985249999910593,True,1_diopter_1-0,1,1,1,0.75,0.5,start,8,0
7,True,2.0895386999472976,100.0,33.0,2,False,90,1.0,[20. 20.],60,0.96,0.9623310999013484,0.29334460012614727,True,2_diopter_2-0,1,1,1,0.75,0.5,start,8,0
8,True,1.9573369999416173,50.0,800.0,2,True,0,1.0,[20. 20.],52,0.8320000000000001,0.8350438000634313,0.49995860015042126,True,2_diopter_1-3,2,1,1,0.75,0.5,start,8,0
9,True,1.6400029000360519,100.0,800.0,1,True,90,1.0,[20. 20.],60,0.96,0.9651876001153141,0.4372648000717163,True,1_diopter_2-3,1,1,1,0.75,0.5,start,8,0
10,True,1.3966588999610394,50.0,33.0,1,False,90,1.0,[20. 20.],52,0.8320000000000001,0.8349240999668837,0.35586699983105063,True,1_diopter_1-0,2,1,1,0.75,0.5,start,8,0
11,True,1.7706683999858797,50.0,100.0,1,True,90,1.0,[20. 20.],52,0.8320000000000001,0.8386512000579387,0.3945069001056254,True,1_diopter_1-2,2,1,1,0.75,0.5,start,8,0
12,True,1.528393799904734,100.0,50.0,1,False,90,1.0,[20. 20.],52,0.8320000000000001,0.8378439999651164,0.32916219998151064,True,1_diopter_2-1,2,1,1,0.75,0.5,start,8,0
13,True,2.4972431999631226,50.0,100.0,1,True,90,1.0,[20. 20.],44,0.704,0.712222000118345,0.37985999998636544,True,1_diopter_1-2,3,1,1,0.75,0.5,start,8,0
14,True,1.1135943999979645,100.0,33.0,2,False,0,1.0,[20. 20.],52,0.8320000000000001,0.8355845999903977,0.3004672001115978,True,2_diopter_2-0,2,1,1,0.75,0.5,start,8,0
15,True,1.506135700037703,100.0,50.0,1,False,0,1.0,[20. 20.],44,0.704,0.710151799954474,0.4254674999974668,True,1_diopter_2-1,3,1,1,0.75,0.5,start,8,0
16,True,1.6552099001128227,50.0,33.0,1,False,90,1.0,[20. 20.],44,0.704,0.7053882000036538,0.4617737999651581,True,1_diopter_1-0,3,1,1,0.75,0.5,start,8,0
17,False,1.4898606999777257,100.0,800.0,1,True,90,1.0,[20. 20.],52,0.8320000000000001,0.8360532999504358,0.3729757000692189,True,1_diopter_2-3,2,1,1,0.75,0.5,start,8,0
18,False,1.6029571001417935,50.0,800.0,2,True,0,1.0,[20. 20.],44,0.704,0.7084967000409961,0.5253224999178201,True,2_diopter_1-3,3,1,1,0.75,0.5,start,8,0
19,True,2.4891697000712156,100.0,50.0,1,False,90,1.0,[20. 20.],36,0.5760000000000001,0.5813257000409067,0.38491240004077554,True,1_diopter_2-1,4,1,1,0.75,0.5,start,8,0
20,True,1.2593657998368144,50.0,33.0,1,False,0,1.0,[20. 20.],36,0.5760000000000001,0.5783615000545979,0.37225100002251565,True,1_diopter_1-0,4,1,1,0.75,0.5,start,8,0
21,True,1.831761799985543,50.0,100.0,1,True,0,1.0,[20. 20.],36,0.5760000000000001,0.5812657999340445,0.41595839988440275,True,1_diopter_1-2,4,1,1,0.75,0.5,start,8,0
22,True,1.2421744000166655,100.0,800.0,1,True,0,1.0,[20. 20.],52,0.8320000000000001,0.8362785999197513,0.6948149998206645,True,1_diopter_2-3,2,1,1,0.75,0.5,start,8,0
