trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,5,True,0.5940997999932733,800.0,50.0,100.0,60,False,2,start,0.16666666666666666,60,0.978157800003828,1.0240816000004997,2.0022394000043278,0.40188389999821084,True,grating-gauss,1,1,1,0.625,0.5,start,16,0
2,4,True,0.5780344000013429,800.0,50.0,800.0,60,False,2,start,0.16666666666666666,60,0.978614400002698,1.0068112000008114,1.9854256000035093,0.09468280000146478,True,radial-check,1,1,1,0.625,0.5,start,16,0
3,13,True,1.3838544000027468,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,60,0,1.4319690999982413,1.4319690999982413,0.2960134000022663,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
4,11,True,0.789058100002876,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,1.058146500006842,1.058146500006842,0.10279659999650903,True,near-000,1,1,1,0.625,0.5,start,16,0
5,7,True,0.9186992999966606,800.0,50.0,50.0,60,False,2,start,0.16666666666666666,60,0.9877152000044589,1.0249172000039835,2.0126324000084423,0.19448759999795584,True,grating-circ,1,1,1,0.625,0.5,start,16,0
6,4,True,0.8485939000020153,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,60,0,1.0115833000018029,1.0115833000018029,0.2698219000012614,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
7,6,True,0.6302080000023125,800.0,50.0,800.0,60,False,2,start,0.16666666666666666,60,0.9789318000039202,1.026644400000805,2.0055762000047253,0.7792788000006112,True,radial-anulus,1,1,1,0.625,0.5,start,16,0
8,6,True,0.6693063999991864,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,60,0,1.190969799994491,1.190969799994491,0.3946576999951503,True,near-rndm,1,1,1,0.625,0.5,start,16,0
9,9,True,0.927518999997119,800.0,50.0,33.0,60,False,2,start,0.16666666666666666,60,0.9865551000038977,1.0428293999939342,2.029384499997832,0.08534620000136783,True,orig-stim,1,1,1,0.625,0.5,start,16,0
10,4,True,0.8314360000003944,800.0,50.0,800.0,60,False,2,start,0.16666666666666666,60,0.981414699999732,1.0149564999956056,1.9963711999953375,0.10895390000223415,True,radial-star,1,1,1,0.625,0.5,start,16,0
11,1,True,0.6036872999975458,800.0,50.0,50.0,60,False,2,start,0.16666666666666666,44,0.963837200004491,0.7256641000058153,1.6895013000103063,0.18937220000225352,True,grating-circ,2,1,1,0.625,1.0,start,16,0
12,2,True,0.5514439000035054,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,44,0,0.7416572000001906,0.7416572000001906,0.4060322000004817,True,near-000,2,1,1,0.625,1.0,start,16,0
13,11,True,0.630414599996584,800.0,50.0,800.0,60,False,2,start,0.16666666666666666,44,0.998993100001826,0.7865808999995352,1.7855740000013611,0.80407969999942,True,radial-anulus,2,1,1,0.625,1.0,start,16,0
