trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,1,True,11.121276199999556,800.0,50.0,50.0,60,False,2,start,0.16666666666666666,60,0.9623251000011805,0.9818994000015664,1.944224500002747,1.3474732999966363,True,grating-circ,1,1,1,0.625,0.5,start,16,0
2,1,True,4.354169700003695,800.0,50.0,800.0,60,False,2,start,0.16666666666666666,60,0.9622837000060827,0.9812398000067333,1.943523500012816,0.3515817000006791,True,radial-check,1,1,1,0.625,0.5,start,16,0
3,1,True,5.707449800000177,800.0,50.0,33.0,60,False,2,start,0.16666666666666666,60,0.9635538000002271,0.9777885000003153,1.9413423000005423,1.6547552999982145,True,orig-stim,1,1,1,0.625,0.5,start,16,0
4,4,True,0.9491094999975758,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,60,0,1.36287280000397,1.36287280000397,0.1761082000011811,True,near-rndm,1,1,1,0.625,0.5,start,16,0
5,4,True,0.5686661999934586,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,1.2061843999981647,1.2061843999981647,0.2827739999993355,True,near-000,1,1,1,0.625,0.5,start,16,0
6,5,True,0.8130758000042988,800.0,50.0,800.0,60,False,2,start,0.16666666666666666,60,0.9756799999959185,1.026222400003462,2.0019023999993806,0.31768770000053337,True,radial-star,1,1,1,0.625,0.5,start,16,0
7,1,True,0.9451076000041212,800.0,50.0,100.0,60,False,2,start,0.16666666666666666,60,0.9619481000045198,0.980103699999745,1.9420518000042648,0.7566254999983357,True,grating-gauss,1,1,1,0.625,0.5,start,16,0
