primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,requestedLatency,actualLatency,responseTime,correct
True,92.7456844788976,100.0,50.0,1,False,0,1.0,[20. 20.],0.96,0.9653007630258799,0.5584431430324912,True
True,3.3072190494276583,33.0,50.0,1,True,0,1.0,[20. 20.],0.96,0.9633274925872684,0.48392073484137654,True
True,3.521802306175232,800.0,50.0,2,False,0,1.0,[20. 20.],0.96,0.9647796601057053,0.3585844887420535,True
True,2.965363811235875,50.0,50.0,0,True,90,1.0,[20. 20.],0.96,0.9662986886687577,0.2950336867943406,True
True,1.809380438644439,800.0,33.0,3,False,90,1.0,[20. 20.],0.96,0.9613105282187462,0.5939253536053002,True
True,1.801229298580438,33.0,800.0,3,True,90,1.0,[20. 20.],0.96,0.962823105044663,0.5161417271010578,True
True,6.425208536442369,33.0,100.0,2,True,0,1.0,[20. 20.],0.96,0.9674925040453672,0.45736735966056585,True
True,4.982012712396681,33.0,33.0,0,True,0,1.0,[20. 20.],0.8320000000000001,0.8331884196959436,0.3593698088079691,True
True,3.887068466283381,800.0,50.0,2,False,0,1.0,[20. 20.],0.8320000000000001,0.8381930012255907,0.23387168906629086,True
True,15.289239679463208,50.0,33.0,1,False,0,1.0,[20. 20.],0.8320000000000001,0.8338285814970732,0.4090481880120933,True
True,2.0947562735527754,800.0,33.0,3,False,0,1.0,[20. 20.],0.8320000000000001,0.833322434220463,0.326748532243073,True
True,2.818832137156278,33.0,100.0,2,True,0,1.0,[20. 20.],0.8320000000000001,0.8395419456064701,0.5071354731917381,True
True,2.8892452511936426,33.0,800.0,3,True,0,1.0,[20. 20.],0.8320000000000001,0.8348625763319433,2.112830069847405,True
True,2.0966184032149613,100.0,800.0,1,True,90,1.0,[20. 20.],0.8320000000000001,0.8358739907853305,0.4516569282859564,True
True,4.244892560876906,800.0,33.0,3,False,90,1.0,[20. 20.],0.704,0.7063340251334012,0.5443381741642952,True
True,3.1771007971838117,50.0,50.0,0,True,0,1.0,[20. 20.],0.704,0.7080917577259243,0.4036019737832248,True
True,3.583083069883287,33.0,800.0,3,True,0,1.0,[20. 20.],0.704,0.7095254501327872,1.1125438590534031,True
