primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,requestedLatency,actualLatency,responseTime,correct
True,41.95140048256144,800.0,100.0,1,False,0,1.0,[20. 20.],0.96,0.9661670196801424,1.1396881304681301,True
False,2.9716604477725923,33.0,800.0,3,True,90,1.0,[20. 20.],0.96,0.9641603189520538,1.3526198104955256,True
True,2.25058334460482,50.0,800.0,2,True,0,1.0,[20. 20.],0.96,0.9634444992989302,0.7932288879528642,True
True,2.801046604756266,800.0,33.0,3,False,0,1.0,[20. 20.],0.96,0.9637436126358807,0.7156112403608859,True
True,1.997883623931557,800.0,50.0,2,False,0,1.0,[20. 20.],0.96,0.9641400845721364,0.349599642213434,True
True,1.2476751981303096,50.0,50.0,0,True,0,1.0,[20. 20.],0.96,0.9637230853550136,4.486134176142514,True
True,2.751007822342217,33.0,50.0,1,True,90,1.0,[20. 20.],0.96,0.9649136746302247,0.1332932561635971,True
True,3.844962647650391,100.0,800.0,1,True,90,1.0,[20. 20.],0.8320000000000001,0.8362804339267313,0.09319149889051914,True
True,15.814518155995756,800.0,33.0,3,False,0,1.0,[20. 20.],0.8320000000000001,0.8342276928015053,0.47777512203902006,True
True,2.117277772631496,800.0,50.0,2,False,0,1.0,[20. 20.],0.8320000000000001,0.8374100276269019,0.6017782599665225,True
True,4.2475089258514345,33.0,800.0,3,True,90,1.0,[20. 20.],0.96,0.9624750190414488,0.19967390783131123,True
True,2.6442963862791657,50.0,33.0,1,False,0,1.0,[20. 20.],0.8320000000000001,0.8349537765607238,0.6513009248301387,True
True,10.834010102786124,800.0,800.0,0,True,90,1.0,[20. 20.],0.8320000000000001,0.8353200443089008,0.18659120379015803,True
True,3.249497151467949,33.0,100.0,2,True,90,1.0,[20. 20.],0.8320000000000001,0.8382677799090743,0.6497666472569108,True
True,2.0423600655049086,800.0,100.0,1,False,0,1.0,[20. 20.],0.704,0.7129989811219275,0.70908059226349,True
True,2.6682855947874486,50.0,800.0,2,True,0,1.0,[20. 20.],0.704,0.7575437491759658,0.8718212945386767,False
True,3.487827687058598,800.0,33.0,3,False,0,1.0,[20. 20.],0.704,0.7483122805133462,1.426401178818196,True
True,2.338177899364382,33.0,800.0,3,True,90,1.0,[20. 20.],0.8320000000000001,0.8359329337254167,0.4852251051925123,True
True,2.711437431629747,100.0,800.0,1,True,0,1.0,[20. 20.],0.704,0.7073897197842598,0.42397777177393436,True
