trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,3,True,1.7126480999868363,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,1.002060999860987,1.002060999860987,3.6094857999123633,False,near-000,1,1,0,0.625,0.5,start,16,0
2,4,True,1.3586985000874847,800.0,50.0,33.0,4,False,2,start,0.16666666666666666,60,0.08311770018190145,1.0039121999870986,1.087029900169,1.5537554000038654,True,near-080,1,1,1,0.625,0.5,start,16,0
3,4,True,2.329014200018719,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,60,0.14370510005392134,1.0148438999895006,1.158549000043422,3.3009977000765502,False,near-160,1,1,0,0.625,0.5,start,16,0
4,5,True,1.0986559998709708,800.0,50.0,33.0,12,False,2,start,0.16666666666666666,60,0.2200885999482125,1.0241662999615073,1.2442548999097198,1.5821235999464989,True,near-240,1,1,1,0.625,0.5,start,16,0
5,4,True,1.564724399941042,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,60,0.1412933999672532,1.0055356998927891,1.1468290998600423,0.6441191998310387,True,near-160,2,2,1,1.25,1.0,start,16,0
