primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,requestedLatency,actualLatency,responseTime,correct
True,17.570835700025782,100.0,800.0,1,True,90,1.0,[20. 20.],0.96,0.9642444001510739,0.365308600012213,True
True,1.5271737000439316,100.0,50.0,1,False,90,1.0,[20. 20.],0.96,0.9642197000794113,0.688322699861601,True
True,1.9340164000168443,100.0,33.0,2,False,0,1.0,[20. 20.],0.96,0.9627284000162035,0.36594889988191426,True
True,2.0225660998839885,50.0,100.0,1,True,90,1.0,[20. 20.],0.96,0.9670330001972616,0.4295828999020159,True
True,3.46960509987548,50.0,33.0,1,False,90,1.0,[20. 20.],0.96,0.9617969000246376,0.35599380009807646,True
True,1.7023746999911964,50.0,800.0,2,True,90,1.0,[20. 20.],0.96,0.9646884000394493,0.5227028001099825,True
True,4.23941219993867,100.0,50.0,1,False,0,1.0,[20. 20.],0.8320000000000001,0.83661810006015,0.38185740006156266,True
True,1.2167325001209974,50.0,33.0,1,False,0,1.0,[20. 20.],0.8320000000000001,0.8344613998197019,0.35329880006611347,True
True,3.135439299978316,100.0,800.0,1,True,90,1.0,[20. 20.],0.8320000000000001,0.8355240998789668,0.31826069997623563,True
True,2.824612000025809,50.0,800.0,2,True,0,1.0,[20. 20.],0.8320000000000001,0.8575548001099378,0.4412103001959622,True
True,2.0024357999209315,50.0,100.0,1,True,90,1.0,[20. 20.],0.8320000000000001,0.8366268000099808,0.42910569999367,True
True,1.703830499900505,100.0,33.0,2,False,90,1.0,[20. 20.],0.8320000000000001,0.8356924999970943,0.3099889000877738,True
True,1.8953775998670608,100.0,33.0,2,False,0,1.0,[20. 20.],0.704,0.7072034999728203,0.2880513998679817,True
False,3.8997834001202136,50.0,33.0,1,False,90,1.0,[20. 20.],0.704,0.7065732998307794,0.2882521999999881,True
True,1.9579637001734227,100.0,800.0,1,True,90,1.0,[20. 20.],0.704,0.7092031999491155,0.29903719993308187,True
True,3.8823748999275267,50.0,100.0,1,True,0,1.0,[20. 20.],0.704,0.7140188999474049,0.3855680001433939,True
False,2.1416116999462247,50.0,800.0,2,True,90,1.0,[20. 20.],0.704,0.7076981000136584,0.9998963999096304,True
True,11.231401500059292,100.0,50.0,1,False,0,1.0,[20. 20.],0.704,0.709123499924317,0.31437109992839396,True
True,1.5671283998526633,100.0,800.0,1,True,0,1.0,[20. 20.],0.5760000000000001,0.5802929999772459,0.4848181998822838,True
True,2.235936500132084,50.0,100.0,1,True,0,1.0,[20. 20.],0.5760000000000001,0.5805118998978287,0.4659490000922233,True
True,2.011040800018236,100.0,50.0,1,False,90,1.0,[20. 20.],0.5760000000000001,0.5828517000190914,0.34042529994621873,True
True,2.0998444000724703,50.0,33.0,1,False,90,1.0,[20. 20.],0.704,0.7065188998822123,0.37734530004672706,True
True,1.877107399981469,50.0,800.0,2,True,90,1.0,[20. 20.],0.704,0.7080367000307888,0.5521589000709355,True
True,4.991901300149038,100.0,33.0,2,False,90,1.0,[20. 20.],0.5760000000000001,0.5793721999507397,0.36667959997430444,True
True,8.467955499887466,50.0,800.0,2,True,0,1.0,[20. 20.],0.5760000000000001,0.5816510000731796,1.026998900109902,False
True,1.6816587999928743,100.0,33.0,2,False,0,1.0,[20. 20.],0.448,0.45101039996370673,0.501854799920693,True
True,1.5493447000626475,100.0,800.0,1,True,90,1.0,[20. 20.],0.448,0.45340829994529486,0.5468590001109987,True
True,2.928416599985212,50.0,33.0,1,False,90,1.0,[20. 20.],0.5760000000000001,0.5785947998519987,1.0664830000605434,True
True,1.712668600026518,50.0,100.0,1,True,0,1.0,[20. 20.],0.448,0.45260129985399544,0.41119559993967414,True
True,1.1675730999559164,100.0,50.0,1,False,90,1.0,[20. 20.],0.448,0.4549197999294847,0.35366509994491935,True
True,2.3921878000255674,100.0,800.0,1,True,90,1.0,[20. 20.],0.32,0.32331849983893335,0.5362025999929756,True
True,1.782655999995768,100.0,50.0,1,False,90,1.0,[20. 20.],0.32,0.32633910002186894,0.4573128998745233,True
