trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,17.816385500133038,100.0,50.0,1,False,0,1.0,[20. 20.],60,0.96,0.9644774999469519,0.32586189988069236,True,1_diopter_2-1,1,1,0,0.75,0.5,start,8,0
2,True,0.88262869999744,50.0,800.0,2,True,0,1.0,[20. 20.],60,0.96,0.9653664999641478,0.3462885001208633,True,2_diopter_1-3,1,1,0,0.75,0.5,start,8,0
3,True,1.1560849999077618,100.0,800.0,1,True,0,1.0,[20. 20.],60,0.96,0.9643867998383939,0.3435471998527646,True,1_diopter_2-3,1,1,0,0.75,0.5,start,8,0
4,True,1.1862480998970568,100.0,33.0,2,False,0,1.0,[20. 20.],60,0.96,0.9626157998573035,0.33622050005942583,True,2_diopter_2-0,1,1,0,0.75,0.5,start,8,0
5,True,1.7077777001541108,50.0,33.0,1,False,90,1.0,[20. 20.],60,0.96,0.9628375000320375,0.3927533000241965,True,1_diopter_1-0,1,1,0,0.75,0.5,start,8,0
6,True,3.3291420999448746,50.0,100.0,1,True,90,1.0,[20. 20.],60,0.96,0.9656038999091834,0.3437900999560952,True,1_diopter_1-2,1,1,0,0.75,0.5,start,8,0
7,True,1.126056400127709,50.0,800.0,2,True,90,1.0,[20. 20.],52,0.8320000000000001,0.8362557000946254,0.5095859998837113,True,2_diopter_1-3,2,1,0,0.75,0.5,start,8,0
8,True,3.5608027998823673,50.0,100.0,1,True,0,1.0,[20. 20.],52,0.8320000000000001,0.837065199855715,0.35962840006686747,True,1_diopter_1-2,2,1,0,0.75,0.5,start,8,0
9,True,1.4112464000936598,100.0,50.0,1,False,0,1.0,[20. 20.],52,0.8320000000000001,0.8359072001185268,0.3689031000249088,True,1_diopter_2-1,2,1,0,0.75,0.5,start,8,0
10,True,3.263061099918559,100.0,800.0,1,True,90,1.0,[20. 20.],52,0.8320000000000001,0.8362879001069814,0.4146715998649597,True,1_diopter_2-3,2,1,0,0.75,0.5,start,8,0
11,True,2.122315499931574,50.0,33.0,1,False,90,1.0,[20. 20.],52,0.8320000000000001,0.8767434998881072,0.3519387000706047,True,1_diopter_1-0,2,1,0,0.75,0.5,start,8,0
12,True,1.4932262999936938,100.0,33.0,2,False,0,1.0,[20. 20.],52,0.8320000000000001,0.8339394999202341,0.39357820013538003,True,2_diopter_2-0,2,1,0,0.75,0.5,start,8,0
13,True,1.4546447000466287,100.0,800.0,1,True,90,1.0,[20. 20.],44,0.704,0.7100148999597877,0.49941650009714067,True,1_diopter_2-3,3,1,0,0.75,0.5,start,8,0
14,True,3.4364076999481767,50.0,100.0,1,True,0,1.0,[20. 20.],44,0.704,0.7662793998606503,0.3707336999941617,True,1_diopter_1-2,3,1,0,0.75,0.5,start,8,0
