primeDepth,primeCorrect,stimDepth,orientation,contrast,frequency,latency,correct
33.0,True,50.0,90,1.0,[20. 20.],60,True
33.0,True,50.0,0,1.0,[20. 20.],52,False
33.0,True,50.0,90,1.0,[20. 20.],56,True
33.0,True,50.0,90,1.0,[20. 20.],56,True
33.0,True,50.0,0,1.0,[20. 20.],56,True
33.0,True,50.0,90,1.0,[20. 20.],52,True
33.0,True,50.0,90,1.0,[20. 20.],52,True
33.0,True,50.0,0,1.0,[20. 20.],52,False
33.0,True,50.0,90,1.0,[20. 20.],54,False
33.0,True,50.0,0,1.0,[20. 20.],56,True
33.0,True,50.0,90,1.0,[20. 20.],56,True
33.0,True,50.0,0,1.0,[20. 20.],56,True
33.0,True,50.0,90,1.0,[20. 20.],54,True
33.0,True,50.0,0,1.0,[20. 20.],54,True
33.0,True,50.0,0,1.0,[20. 20.],54,True
33.0,True,50.0,0,1.0,[20. 20.],52,True
33.0,True,50.0,0,1.0,[20. 20.],52,True
