trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
32,True,3.0725435000003927,800.0,50.0,33.0,5,False,2,start,0.25,0,0.08977870000126131,0.03797370000029332,0.12775240000155463,3.0473215999991226,False,near-080,5,1,0,0.625,0.5,start,16,0
33,True,4.113474100000531,800.0,50.0,33.0,10,False,2,up,0.25,28,0.17129399999976158,0.488528399999268,0.6598223999990296,1.0789860999993834,True,near-160,5,1,1,0.625,0.5,up,16,0
34,True,3.567560499999672,800.0,50.0,33.0,0,False,2,start,0.25,12,0,0.23084259999995993,0.23084259999995993,6.088519900000392,False,near-000,4,1,0,0.625,0.5,start,16,0
35,True,5.479198099999849,800.0,33.0,50.0,0,False,3,start,0.25,0,0,0.020039499999256805,0.020039499999256805,5.058131600000706,False,near-rnd3,5,1,0,0.625,0.5,start,16,0
36,True,5.722970400000122,800.0,50.0,33.0,5,False,2,up,0.25,16,0.08876169999894046,0.35966240000016114,0.4484240999991016,1.5621041000013065,True,near-080,6,1,1,0.625,0.5,up,16,0
37,True,2.6762142999996286,800.0,33.0,50.0,0,False,3,up,0.25,16,0,0.27638610000030894,0.27638610000030894,1.1107039999988046,True,near-rnd3,6,1,1,0.625,0.5,up,16,0
38,True,3.492486099999951,800.0,50.0,33.0,0,False,2,up,0.25,28,0,0.4817258999992191,0.4817258999992191,0.626700200000414,True,near-000,5,1,1,0.625,0.5,up,16,0
39,True,2.818648899999971,800.0,50.0,33.0,15,False,2,up,0.25,16,0.2488493999990169,0.2936894999984361,0.542538899997453,0.4512273999989702,True,near-240,6,1,1,0.625,0.5,up,16,0
40,True,2.1805575999987923,800.0,50.0,33.0,10,False,2,up,0.25,28,0.1692155000000639,0.49163729999963834,0.6608527999997023,0.09035260000018752,True,near-160,6,2,2,1.25,1.0,up,16,0
41,True,4.910891900000934,800.0,800.0,50.0,0,False,0,up,0.25,16,0,0.28351999999904365,0.28351999999904365,2.035932099999627,False,near-rndm,6,1,0,0.625,0.5,up,16,0
42,True,2.302110700000412,800.0,100.0,50.0,0,False,1,start,0.25,0,0,0.03675629999997909,0.03675629999997909,1.0731414999991102,False,near-rnd2,5,1,0,0.625,0.5,start,16,0
43,True,3.1107625999993616,800.0,50.0,33.0,15,False,2,up,0.25,16,0.24921700000049896,0.2893082999999024,0.5385253000004013,2.064670199999455,False,near-240,7,2,1,1.25,1.0,up,16,0
44,True,2.7675835999998526,800.0,800.0,50.0,0,False,0,up,0.25,16,0,0.2882575999992696,0.2882575999992696,0.8524834999989253,False,near-rndm,7,2,0,1.25,1.0,up,16,0
45,True,5.882919000001493,800.0,100.0,50.0,0,False,1,up,0.25,16,0,0.2964085999992676,0.2964085999992676,0.7947433999997884,True,near-rnd2,6,1,1,0.625,0.5,up,16,0
46,True,3.1711623999999574,800.0,50.0,33.0,5,False,2,up,0.25,16,0.09286400000019057,0.2947731999993266,0.3876371999995172,2.5144035999983316,True,near-080,7,2,2,1.25,1.0,up,16,0
47,True,1.96723159999965,800.0,33.0,50.0,0,False,3,up,0.25,16,0,0.28071970000019064,0.28071970000019064,4.2051248000007035,False,near-rnd3,7,2,1,1.25,1.0,up,16,0
48,True,2.6491844000011042,800.0,50.0,33.0,10,False,2,up,0.25,28,0.24662660000103642,0.4915760000003502,0.7382026000013866,0.10724549999940791,True,near-160,7,3,3,1.875,1.0,up,16,0
49,True,7.19060890000037,800.0,50.0,33.0,0,False,2,up,0.25,28,0,0.48300080000080925,0.48300080000080925,0.6874635999993188,True,near-000,6,2,2,1.25,1.0,up,16,0
50,True,4.154130400000213,800.0,50.0,33.0,5,False,2,up,0.25,16,0.09581249999973807,0.3086354000006395,0.40444790000037756,0.34266700000080164,True,near-080,8,3,3,1.875,1.0,up,16,0
51,True,3.0860303999997996,800.0,50.0,33.0,10,False,2,down,0.25,12,0.16961240000091493,0.23073529999965103,0.40034770000056596,0.9221477999999479,False,near-160,8,1,0,0.625,0.5,down,8,0
52,True,2.9775406000007933,800.0,800.0,50.0,0,False,0,up,0.25,32,0,0.5478261000007478,0.5478261000007478,0.7441189999990456,True,near-rndm,8,1,1,0.625,1.0,up,16,0
53,True,3.7833566999997856,800.0,50.0,33.0,15,False,2,up,0.25,16,0.25017990000014834,0.29767939999874216,0.5478592999988905,3.5129166999995505,False,near-240,8,3,1,1.875,1.0,up,16,0
54,True,6.474336499999481,800.0,100.0,50.0,0,False,1,up,0.25,16,0,0.3023488999988331,0.3023488999988331,1.4231426999995165,True,near-rnd2,7,2,2,1.25,1.0,up,16,0
55,True,7.162449199999173,800.0,50.0,33.0,0,False,2,up,0.25,28,0,0.4872698999988643,0.4872698999988643,0.4580566999993607,True,near-000,7,3,3,1.875,1.0,up,16,0
56,True,3.8277197999996133,800.0,33.0,50.0,0,False,3,up,0.25,16,0,0.27714930000001914,0.27714930000001914,5.50527510000029,True,near-rnd3,8,3,2,1.875,1.0,up,16,0
57,True,6.3300221000008605,800.0,50.0,33.0,10,False,2,down,0.25,12,0.1738110999995115,0.23420960000112245,0.40802070000063395,0.7323039000002609,True,near-160,9,2,1,1.25,1,down,8,0
58,True,2.2622900000005757,800.0,50.0,33.0,15,False,2,up,0.25,32,0.2519732999990083,0.5633927999988373,0.8153660999978456,0.15033910000056494,True,near-240,9,1,1,0.625,0.5,up,16,0
59,True,2.5534377000003587,800.0,800.0,50.0,0,False,0,up,0.25,32,0,0.5436941999996634,0.5436941999996634,1.0438501999997243,False,near-rndm,9,2,1,1.25,1.0,up,16,0
60,True,3.6369426999990537,800.0,33.0,50.0,0,False,3,up,0.25,16,0,0.28173190000052273,0.28173190000052273,0.927852000000712,False,near-rnd3,9,4,2,2.5,0.5,up,16,0
61,True,2.8808409000012034,800.0,100.0,50.0,0,False,1,up,0.25,16,0,0.299278399999821,0.299278399999821,0.9091718999989098,True,near-rnd2,8,3,3,1.875,1.0,up,16,0
62,True,7.59848410000086,800.0,50.0,33.0,5,False,2,down,0.25,0,0.09058379999987665,0.03595060000043304,0.1265344000003097,2.011203000000023,False,near-080,9,1,0,0.625,0.5,down,8,0
63,True,2.868821600000956,800.0,50.0,33.0,0,False,2,down,0.25,12,0,0.23315249999905063,0.23315249999905063,0.996618799999851,True,near-000,8,1,1,0.625,0.5,down,8,0
