trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,2,True,14.771813800034579,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,1.0100878999801353,1.0100878999801353,1.5317805000231601,True,near-000,1,1,1,0.625,0.5,start,16,0
2,3,True,3.4112175999907777,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,60,0.26132539997342974,1.0271290999953635,1.2884544999687932,1.511101400014013,True,near-240,1,1,1,0.625,0.5,start,16,0
3,1,True,4.532568800030276,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,60,0.17294560000300407,1.0081835000310093,1.1811291000340134,6.7885661000036635,True,near-160,1,1,1,0.625,0.5,start,16,0
4,4,True,7.388916799973231,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,60,0,0.9959566000034101,0.9959566000034101,5.360389999987092,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
5,2,True,5.0022979999776,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,60,0,1.01346069999272,1.01346069999272,2.777216399961617,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
6,5,True,37.89895369997248,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,60,0,1.0312223000219092,1.0312223000219092,3.956745800038334,True,near-rndm,1,1,1,0.625,0.5,start,16,0
7,2,True,18.836635799962096,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,60,0.09465169999748468,1.0151542000239715,1.1098059000214562,3.749360500019975,True,near-080,1,1,1,0.625,0.5,start,16,0
