trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,1,True,3.0423230000014883,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,60,0,1.002278199986904,1.002278199986904,0.3059252999955788,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
2,3,True,5.382136100000935,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,60,0.17645189999893773,1.0153501000022516,1.1918020000011893,0.341514300002018,True,near-160,1,1,1,0.625,0.5,start,16,0
3,1,True,1.55736770000658,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,60,0,0.9804664999974193,0.9804664999974193,0.6113999000081094,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
