trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
32,True,1.5557677000178955,800.0,50.0,33.0,15,False,2,start,0.25,0,0.247698399994988,0.03583680000156164,0.28353519999654964,1.2669773999950849,True,near-240,5,1,1,0.625,0.5,start,16,0
33,True,3.1336909999954514,800.0,33.0,50.0,0,False,3,up,0.25,60,0,0.9767389000044204,0.9767389000044204,0.43520300000091083,True,near-rnd3,5,2,2,1.25,1.0,up,16,0
34,True,3.1719490000104997,800.0,50.0,33.0,0,False,2,up,0.25,28,0,0.4840085000032559,0.4840085000032559,0.7704116999811959,True,near-000,5,1,1,0.625,0.5,up,16,0
35,True,1.838632700004382,800.0,50.0,33.0,5,False,2,start,0.25,0,0.09415640000952408,0.036713600013172254,0.13087000002269633,1.4768005999794696,False,near-080,5,1,0,0.625,0.5,start,16,0
36,True,2.9140529000142124,800.0,100.0,50.0,0,False,1,start,0.25,0,0,0.03838250000262633,0.03838250000262633,1.1186471999972127,False,near-rnd2,6,1,0,0.625,0.5,start,16,0
37,True,2.7550678999978118,800.0,800.0,50.0,0,False,0,up,0.25,16,0,0.28258219998679124,0.28258219998679124,0.5874198999954388,True,near-rndm,6,1,1,0.625,0.5,up,16,0
38,True,2.296371500007808,800.0,50.0,33.0,0,False,2,up,0.25,28,0,0.4880985000054352,0.4880985000054352,0.4540131000103429,True,near-000,6,2,2,1.25,1.0,up,16,0
39,True,1.526713800005382,800.0,33.0,50.0,0,False,3,up,0.25,60,0,0.9813944000052288,0.9813944000052288,0.46143880000454374,True,near-rnd3,6,3,3,1.875,1.0,up,16,0
40,True,1.9757394999905955,800.0,50.0,33.0,15,False,2,start,0.25,0,0.24869430001126602,0.0390907000110019,0.2877850000222679,1.666246599983424,True,near-240,6,1,1,0.625,0.5,start,16,0
41,True,1.5902824000222608,800.0,50.0,33.0,5,False,2,up,0.25,16,0.09496990000479855,0.3023754000023473,0.39734530000714585,0.7251692000136245,True,near-080,6,1,1,0.625,0.5,up,16,0
42,True,1.6304716000158805,800.0,50.0,33.0,10,False,2,up,0.25,16,0.17146410001441836,0.2968016999948304,0.4682658000092488,0.6004760999931023,True,near-160,6,1,1,0.625,0.5,up,16,0
43,True,1.9811516999907326,800.0,50.0,33.0,5,False,2,up,0.25,16,0.08939390000887215,0.2957083999936003,0.3851023000024725,0.723456100007752,True,near-080,7,2,2,1.25,1.0,up,16,0
44,True,1.2132455999962986,800.0,800.0,50.0,0,False,0,up,0.25,16,0,0.2797749000019394,0.2797749000019394,0.5868933000019751,True,near-rndm,7,2,2,1.25,1.0,up,16,0
45,True,1.2843655000033323,800.0,50.0,33.0,10,False,2,up,0.25,16,0.17469260000507347,0.3081597000127658,0.4828523000178393,0.5611602999852039,True,near-160,7,2,2,1.25,1.0,up,16,0
46,True,1.4464939000026789,800.0,50.0,33.0,15,False,2,start,0.25,0,0.25059119999059476,0.03804949999903329,0.28864069998962805,1.3297057999880053,True,near-240,7,1,1,0.625,0.5,start,16,0
47,True,1.2978296999935992,800.0,50.0,33.0,0,False,2,up,0.25,28,0,0.4849952999793459,0.4849952999793459,0.4972651000134647,True,near-000,7,3,3,1.875,1.0,up,16,0
48,True,1.7292873999977019,800.0,33.0,50.0,0,False,3,down,0.25,44,0,0.7278575999953318,0.7278575999953318,0.5582464000035543,True,near-rnd3,7,1,1,0.625,0.5,down,8,0
49,True,3.2812418999965303,800.0,100.0,50.0,0,False,1,up,0.25,16,0,0.42696199999772944,0.42696199999772944,0.516591999999946,True,near-rnd2,7,1,1,0.625,0.5,up,16,0
50,True,1.2652448999870103,800.0,50.0,33.0,0,False,2,down,0.25,12,0,0.22652980001294054,0.22652980001294054,0.7705644000088796,False,near-000,8,1,0,0.625,0.5,down,8,0
51,True,1.8555517999920994,800.0,50.0,33.0,15,False,2,start,0.25,0,0.27640850000898354,0.04114670000853948,0.317555200017523,0.9504442999896128,False,near-240,8,1,0,0.625,0.5,start,16,0
52,True,2.568012500007171,800.0,50.0,33.0,5,False,2,up,0.25,16,0.0925295999913942,0.30344599997624755,0.39597559996764176,0.6049693000095431,True,near-080,8,3,3,1.875,1.0,up,16,0
53,True,6.050804700003937,800.0,33.0,50.0,0,False,3,down,0.25,44,0,0.7218049999792129,0.7218049999792129,0.36772670000209473,True,near-rnd3,8,2,2,1.25,1,down,8,0
54,True,2.433514699980151,800.0,800.0,50.0,0,False,0,up,0.25,16,0,0.28200579999247566,0.28200579999247566,0.5453538000001572,True,near-rndm,8,3,3,1.875,1.0,up,16,0
